stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,olfactory,spinal_cord,vasculature
  3-4,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0
 14-21,0,1.09,0.92,0,0,0,0,0,0,2.16,0,4.42,0,2.36,0
 24-34,0,0,0.61,0,0,0,0.86,0,0,0,1.3,4.9,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0.78,0
 48-58,0,0,0,0,0,1.4,0,0,0,0,0,5.02,0,4.48,0
 60-70,0,0,0,0,0,3.13,0,0,0,0.7,0,7.45,0,0,0
 72-82,0,0,0,0,0,2.5,0,0.89,0,0,0,5.82,2.61,0,1.59
 84-94,0,0,1.92,1.22,0,0,0,0.84,0,2.88,0,9.29,0,0,0
 96-106,0,0,0,0,0,16.02,0,0,0,0,0,12.86,0,0,0
108-118,0,0,0,0,0.82,6.17,0,0,2.47,2.79,0,7.94,0,0,0
120,0,0,6.62,0,0,10.32,0,0,0,0,0,37.14,10.22,0,8.54
