stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,146.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,105.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.87,0,10.3,0,0,0,109.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577.33,6.74,0,0,95.62,0,8.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,15.45,0,28.25,0,0,0,105.47,0,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,709.2,3.39,0,0,152.67,0,0,0,0,23.9,0,0,0,0,0,0,0,0
 14-21,0,0,1.9,37.84,26.61,0,43.45,0,0,0,34.58,10.78,1.35,0,0,12.7,0,0,0,0,9.68,0,0,2.67,854.34,9.89,4.7,8.09,15.58,0,0.89,0,10.09,0,0,20.97,348.47,0,0,4.52,0,0
 24-34,0,3.1,1.3,15.5,0.66,0,164.8,0,4.34,0,51.64,1.02,2.95,1.18,1.47,7.42,0,3.93,1.32,0,51.71,1.56,0,23.31,2955.58,1.58,17.03,21.71,0,0,4.01,0,0,0.7,1.01,5.92,734.56,0,0,38.91,0,0
 36-46,0,0,0,6.87,0,0,393.68,0,1.36,1.39,118.63,0.58,0,0.92,0,12.16,0.56,4.51,0,0,36.25,0.65,0,5.03,3056.85,0.72,17.72,7.32,0,0,6.88,0,0,1.95,0,0,675.95,0,1.23,12.5,0,0
 48-58,0,0.54,0,13.63,3.17,0,754.28,1.66,3.83,6.76,177.11,3.59,0,0.48,0,1.86,0,1.59,1.41,2.95,73.61,0,2.01,15.16,2125.84,0.62,6.56,10.18,0,0,4.82,0,0,0.41,0.45,0,558.5,0,0.74,19.33,0,0.89
 60-70,0,1.68,0,12.8,0,0,1160.37,0.81,0,0,202.63,4.49,0,1.18,0.8,2.43,0,0,5.89,0,89.29,0,9.08,2.8,1624.68,0,2.79,8.48,0.81,1.22,0.85,0,0,0.97,0,0,231.01,1.65,0,6.46,0,16.79
 72-82,0,6.77,0,25.25,3.96,0,1689.85,0,6.51,3.85,189.46,9.17,0,1.41,3.51,1.73,0,1.33,1.54,4.19,102.1,0,5.74,11.21,1373.82,0,12.45,14.74,0,0.8,7.15,1.65,0,0,0,0,226.03,15.59,3.65,40.3,6.95,15.32
 84-94,0,8.21,0,26.9,1.75,0,1001.32,0,11.3,2.03,141.99,18.26,0,3.53,0,6.72,10.91,1.41,0,0,80.03,0.86,6.02,10.07,896.62,0.62,5.72,20.59,7.7,0,5.64,0,0,0.56,0.63,0,96.53,11.98,0,39.78,3.29,0
 96-106,0,23.08,0,16.35,9.48,0,902.28,2.28,3.28,2.3,152.76,23.72,0,1.26,2.08,10.94,0.75,2.45,0.61,0,52.46,0,6.86,9.36,845.76,0,11.53,14.01,0,0,11.83,1.35,0,0,0,0,47.28,15.65,1.22,26.11,6.94,0
108-118,0,1.18,0,16.56,2.87,4.67,933.85,0,0,0.52,192.98,20.01,0,1.49,3.59,2.8,1.02,1.71,2.84,0,59.45,0.54,1,15.33,1078.04,0,14.51,21.34,0,1,4.5,0,0,0,0,0,28.58,20.27,1.96,22.4,2.52,0
120,0,0,0,50.64,0,0,839.92,0,0,1.67,265.51,25.62,0,5.18,0,1.4,0,0,2.48,0,52.95,2.91,19.54,15.8,1519.52,0,13.1,20.55,0,3.68,0,0,0,1.14,1.32,0,83.71,13.17,0,5.72,14.75,0
