stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.82,5.87,493.88,0,0,0.91,2.83,0,0,3.97,4.04,0,4.59,0,0,0,1.66,0,0,0,33.55,2.59,5.23,0,0,108.95,1.23,8.58,4.4,10.33,0,0,0,0,0
 24-34,0,1.95,383.29,0,0,3.04,32.53,0,0.65,0.63,0,1.96,17.29,1.46,1.95,0.69,8.22,19.94,0,1.77,60.95,0,17.25,1.92,0,234.97,0,0,5.45,6.53,0,0,2.67,0,0
 36-46,0,0,220.5,0,0,8.82,70.28,0,1.72,0.59,2.18,1.34,20.4,1.27,0,9.8,2,2.57,0,1.26,54.32,0,6.65,0,0,307.05,0,0,5.15,4.94,0,0,8.95,0,0.67
 48-58,0,0.43,165.62,0,0,11.32,53.32,0,3.11,0.49,0.49,4.61,2.33,2.21,0.37,0,2.77,0.57,0,0,97.58,0.91,11.16,5.11,0.61,159.66,0,0,0.38,10.48,0,0,0.39,0,0
 60-70,0,0,246.19,0,0,20.22,79.91,0.63,0,2.87,0,2.14,13.15,1.36,0,0,2.04,3.89,1.12,0,83.83,0,5.46,5.22,0,165.64,0,0,1.94,9.81,2.44,0,0,0,0
 72-82,4.1,0.56,127.15,0,0,12.02,41.86,7.57,0.78,9.2,0.52,9.71,6.97,6.93,4.92,0,16.76,13.16,0,0.97,106.27,0.52,9.69,5.68,0,78.37,0,0,1.35,5.09,2.94,0,0,0,0
 84-94,2.24,0,283.41,0,1.68,23.08,52.44,0,6.57,17.2,4.43,20.98,17.64,8.02,4.52,1.35,12.76,10.21,0,1.74,87.73,0,12.59,2.97,3.87,284.13,1.4,0,2.12,18.8,9.13,2.08,2.42,0,0
 96-106,1.72,0,269.52,1.41,0.97,37.16,58.31,0,3.74,27.1,1.06,40.83,27.53,19.18,14.83,0,20.6,26.49,0,0,86.93,0,34.24,3.87,0,262.31,0,0,2.1,5.4,13.94,0,3.94,1.67,0
108-118,2.35,0,345.1,0,31.86,9.31,88.19,0,9.36,33.14,0,27.35,27.19,6.5,20.11,1.07,27.45,31.13,0,0,114.24,0.51,14.5,12.07,1.89,216.65,0,0,2.39,10.15,21.78,0,3.35,0,0
120,11.31,0,333.12,1.7,0,0,89.67,5.27,12.41,48.79,0,59,23.63,39.43,19.97,0,10.6,22.24,0,3.16,131.52,0,21.09,6.77,0,152.6,0,0,5.43,9.81,9.28,0,0,0,0
