stage,eye,muscle,neural,slow_muscle,spinal_cord
 24-34,0,0,1.25,0,0
 36-46,0,0,0,0,0.64
 84-94,0,0,8.08,0,0
 96-106,0,10.77,6.22,0,0
108-118,1.86,0,0,0.69,0
