stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,52.11,1012.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.01,487.02,0,0,0,0,0,0,0,0,0,28.43,0,0,14.99,0,0,0,0,0
  7-9,11.08,48.02,15.79,0,0,52.58,0,0,0,7.3,0,307.3,13.98,99.74,0,4.3,0,0,0,0
 10-12,0,38.35,14.91,0,0,11.08,0,0,0,4.32,0,92.84,3.27,13.23,0,0,0,0,0,0
 14-21,0,0,0,0,1.73,0,0,0,0,0,1.47,9.3,0,0,0,0,2.31,0,0.81,2.64
 24-34,0,0,0,0,0,0,1.45,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.76,0,0,0,1.49,0,0,8.8,0,0,2.28,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,1.82,0,0,0,0,0
 60-70,0,0,0,4.68,0.57,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,6.72,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,8.44,0,0,0,0,0
 96-106,0,0,0,0.99,0,1.82,0,0,0,0,1.26,3.81,0,0,1.82,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0.71,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,1.1,0,0,0,0,0
