stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.42,659.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,0,0,0,0,0,0,0,0,0,0
  5-6,26.12,534.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.99,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.37,0,0,0,9.61,0,9.81,22.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.49,0,0,0,25.69,0,6.67,6.79,4.61,5.54,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,12.62,6.37,0,7.68,0,0.88,0,0,0,0,0.89,0,0.95,0,0,0,1.08,0.81,0,0,2.86,79.07,0,0,0,0.97,0,48.37,1.12,1.02,0,4.06,19.38,0,0,5.04,0,0
 24-34,0,0,0,3.65,40.61,1.57,0,52.66,0,4.94,0,8.21,0.85,0,2.61,0,3.01,2.57,1.63,0.65,15.93,18.93,1.67,0,7.99,467.4,0.88,0.99,11.5,0,0,169.11,0,0,2.36,0,50.68,0,0,96.25,0,10.27
 36-46,0,0,0,0,17.77,1.55,0,112.45,1.18,1.75,0,35.19,0.56,0.76,2.72,2.46,0,0,1.82,0,17.23,30.67,0,0.77,13.04,310.76,0.58,0,3.96,0,0,272.48,0,0,9.38,0,73.65,0,0,54.56,0,24.36
 48-58,0,0,0,0.43,34.21,0,0,118.2,0.57,2.5,2.02,50.95,0.7,4.69,3.4,7.49,0,0.51,9.06,0.37,26.31,15.95,5.04,0.58,4.34,157.81,0.78,2.93,2.15,0,0,110.88,0,0,10.21,0,53.08,0,0.42,57.59,0,19.32
 60-70,0,0,0,0.85,40.91,0,0,92.81,0.67,16.04,3.5,85.79,0.62,5.15,0,9.38,0.67,2.04,0.56,0,21.52,26.96,0,2.79,4.9,126.57,0.7,3.16,12.92,0,0,133.58,0,0,4.22,0,13.4,1.44,0.98,52.34,0,11.13
 72-82,0,0,0,0,19.71,4.03,0,77.39,0,3.42,4.27,115.58,8.64,2.66,2.82,9.22,1.87,12.66,3.12,0.72,13.39,113.96,5.67,8.42,9.02,104.8,0.51,2.6,13.86,0,0,119.37,0,0,0,0,14.77,0,1,117.02,0.71,19.95
 84-94,0,0,0.66,1.04,61.64,0,0,51.43,0,13.44,1.38,83.35,9.4,8.33,2.6,16.02,2.34,7,8.86,6.26,39.88,76.9,5.75,2.96,6.37,92.8,0.99,8.6,12.94,0,0,250.47,0,0,11.6,0,10.18,2.11,0.93,128.35,3.72,18.45
 96-106,0,0,0,0.71,52.53,14.91,1.93,48.92,0,6.05,0,122.44,21.28,0,1.9,16.91,7.95,3.46,18.43,4.41,6.5,50.1,10.38,0.73,0.79,112.68,1.85,19.58,23.01,0,0,295.87,0,0,6.46,0,2.34,8.09,4.04,133.94,1.13,19.16
108-118,0,0,0.75,0.57,86.17,2.91,6.05,57.35,0.46,18.32,6.12,165.37,19.82,0,3.42,14.81,10.07,15.28,12.55,5.44,24.4,96.25,2.4,3.74,2.07,110.66,0,12.58,15.46,0,1.97,238.32,0,0,7.81,0,4.1,2.97,8.01,94.71,2.25,30.06
120,0,0,0,1.28,93.74,1.3,0,35.13,0,11.99,1.29,182.48,21.37,0,4.47,20.43,0,10.06,10.76,0,8.46,84.86,1.47,13.97,0,104.21,0,8.45,12.63,0,7.06,160.53,0,0,1.42,0,24.46,0,3.08,144.83,0,28.82
