stage,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,376.36,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0
  5-6,211.44,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,11.68,0,5.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,1.57,0,0,0,0
 24-34,0,0.86,0,1.29,0,0,0,0,0,0.97,5.35,0,0,0,0,0,0,1.26,1.73,7.61,0
 36-46,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.83,0,0,0,0,0.76,0,0
 48-58,0,1.67,0,4.93,1.06,0,0,0,0,0,10.31,0.44,0,5.35,0,0,0,0,0,0,0
 60-70,0,8.78,0,16.05,4.17,2.01,0,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0
 72-82,0,31.91,0,41.22,0,0,0,0,0,0,7.36,0,0,0.91,0,0,0,0,0,0.79,6.73
 84-94,0,29.8,0,75.83,0,0,0,0,0.81,0,6.71,1.84,0,1.44,0,1.21,0,0,0,0,9.51
 96-106,0,5.17,0,69.59,0,9.15,0,0,0,2.4,2.4,0,0,3.99,0,0,0,0,0,0,0
108-118,0,22.33,0,47.42,0,0,1.14,4.99,0,0,0,0,0,7.89,0,0,0,0,0,0,0
120,0,23.68,15.97,45.77,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0
