stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,42.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,20.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.61,0,0,0,44.4,0,0,0,3.8,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,19.21,1.86,0,9.08,0,0,0,1.75,0.82,0,0,0,0.81,0,0,0,9.21,0,0,13.35,59.29,0,0,2.18,0,0,17.92,9.88,0.89,0,15.63,30.04,0,0,3.31,0,0
 24-34,0,0,1.41,6.63,0.68,0,27.25,0,0,0,9.19,0,0.76,0,7.64,0,0,0,0,12.76,0,0,11.52,179.05,0,0,0.68,0,0,19.62,0,0.71,0,2.72,41.54,0,0,3.12,0,0
 36-46,0,0,0,8.32,0,0,13.45,2.6,3.33,0,3.96,2.26,0,1.71,0.61,0,0,0.72,0,18.4,0,0.93,0.82,117.73,0,4.58,1.22,0,0,28.69,0,0.79,0,0,18.67,0,0,4.08,0,0
 48-58,0,0,0,0.39,0.82,0,51.02,0,3.94,0,9.87,0.58,0,0,0.42,0,0,1.05,0.39,19.28,0.95,0,1.9,134.25,0,3.35,1.99,0,0,11.64,0,0,3.33,0,27.15,0,0,0.52,0,0
 60-70,0,0,0,4.21,0.67,0,62.73,0,1.64,0,35.51,5,0.59,0,1.33,0,0,0,0,16.7,0,0.63,3.58,175.15,0,6.1,2.84,0,0.63,30.18,0,3.95,0,0,36.28,0,0,0,0.59,12.14
 72-82,0,0,0,1.81,6.86,0,34.2,0,0,2.26,17.37,3.11,0.59,0,4.76,0,0,1.68,0,39.11,1.76,1.3,5.7,100.29,0.52,6.76,1.81,0,4.06,8.05,0,0,0,0,16.74,0,0,1.15,0.65,0.89
 84-94,0,0.81,0,2.6,6.74,0,56.37,0,1.41,3.19,27.76,1.62,0,0,10.17,2.37,5.64,0.69,0,53.09,0,1.21,8.19,128.89,4.99,2,6.21,0,0.79,43.04,0,0,0,0,4.57,0,0,7.28,0,5.15
 96-106,0,0,0,9.47,7.39,0,22.69,1.98,12.93,1.01,26.08,2.17,0,0.88,18.69,0.56,3.94,6.92,4.04,45.38,0,0.94,5.1,80.69,1.07,16.71,4.79,0,3.52,48.31,0,0,0,0,6.14,1.44,4.13,4.62,3.81,3.81
108-118,0,0,0,20.95,6.39,0.52,41.8,0,1.74,8.49,39.8,5.43,0,0,16.86,2.56,2.71,0.45,2.34,45.52,0,3.77,4.58,71.7,0,5.55,3.29,0,1.82,23.62,0,1.13,0.44,0,4.46,0,2.57,7.12,0,8.46
120,0,2.52,0,9.31,4.34,0,13.97,6.5,6.38,0,49.33,9.08,0,0,4.28,0,9.35,1.62,3.79,15.44,0,2.18,11.18,148.9,0,10.52,2.59,0,0,11.95,0,0,0,0,8.31,0,0,0,0,0
