stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33,0,0,5.02,0,0,0,0
 10-12,0,0,0,0,29.42,0,0,0,0,0,0,0,0,0,7.38,0,0,6.63,0,0,0,0
 14-21,0,0,8.22,4.38,5.99,0,0,0,0,1.52,15.36,7.16,0,1.13,1.89,0,0,0,0,2.28,0,0
 24-34,0,0,1.37,6.63,0,0,1,0,1,3,2.19,5.18,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,5.31,0.89,7.9,0,0,0.89,0.99,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.43,5.62,0,1.41,0.46,0,2.82,0,0,0,2.2,0.84,1.28,0
 60-70,0,0,0,0,0,0.65,0,0,0,4.26,0,0.58,0,0,2.26,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.25,0,1.72,0,0,6.65,0,0,0,0,0,0.51,0
 84-94,0,0,0,1.03,0,2.61,0,0,0,8.68,0,0,1.48,0,0.66,0,0.91,0,0,2.49,0,0
 96-106,0,0,0,0,0,2.09,3.6,0,3.51,1.77,0.76,0.62,0,0,3.04,0,0,0,0,0,0.93,1.35
108-118,0,0,0,0,0,0,0,1.13,2.12,1.52,0,11.38,0,0,2.7,0,1.27,0,0,0,1.94,0
120,0,3.9,0,0,0,0,0,0,2.59,2.95,0,0,0,0,0,0,0,0,0,0,5.78,5.98
