stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,mesenchyme,mucous,neural,olfactory,otic,somites,spinal.cord,vascular.smooth.muscle
 14-21,0,1.89,0,0,0,0.89,0,0,0,0,0,0,0.81,1.75,0
 24-34,0,0,0,0,0,0,0,0.6,0,6.7,2.18,0,0,2.83,0
 36-46,0.61,0,0,0,0.69,4.23,0,0,0,39.53,3.68,0,0,5.65,0
 48-58,0.42,0,0,0.88,0,0,0,0,0,80.62,0.38,0,0,5.78,0
 60-70,0,0,0,30.54,0,2.36,0,0,1.14,164.02,0,0,0,7.69,0
 72-82,0,0,0,37.5,0,4.67,0,0,0,105.95,2.61,0,0,6.01,0
 84-94,1.46,1.45,0,25.24,0,0,0,2.88,0,59.77,0,1.44,0,9.5,0
 96-106,0,0,5.04,28.9,0,5.83,0,0,0,76.05,1.08,0.86,0,4.59,0
108-118,0,2.45,0,38.79,0,1.41,0.52,4.69,0,59.65,0.96,1.88,0,0,0.63
120,0,5.24,0,21.37,0,0,3.22,0,0,138.41,1.77,0,0,1.19,0
