stage,endoderm,epidermis,ionocyte,mesenchyme,neural,olfactory
  7-9,3.51,0,0,0,0,0
 24-34,0,0,0.62,0,0,0
 72-82,0,0.71,0,0.51,0,0
 84-94,0,0,0,0,4.21,0
 96-106,0,0,0,0,0,2.42
