stage,axial,blastomeres,eye,glial,gut,ionocyte,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,xanthophores
  3-4,17.26,379.2,0,0,0,0,0,0,0,0,28.7,0,0
  5-6,6.24,179.17,0,0,0,0,0,0,18.15,0,0,0,0
  7-9,7.58,0,0,0,0,0,0,0,5.28,0,0,0,0
 14-21,0,0,0,0,1.21,0,0,0,0.98,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,10.65,0,0,7.69,0
 36-46,0,0,0,0,0,0,0,0,33.5,0,0,16.92,0
 48-58,0,0,2.81,0,0,0,0,1.04,111.88,0.44,0,10.83,0
 60-70,0,0,3.68,2.93,0,0,0,0,114.08,0,0,5.56,0
 72-82,0,0,2.69,10.62,0,0.52,1.12,0,184.89,0,0,24.45,6.61
 84-94,0,0,11.73,0.76,0,0,2.08,0,138.6,0,0,6.32,0
 96-106,0,0,5.92,0.75,0,0,6.71,0,109.34,0,0,5.84,0
108-118,0,0,6.01,2.63,0,0,0,0,110.84,0,0,17.3,0
120,0,0,22.03,3.12,0,0,2.22,0,176.71,0,0,0,0
