stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.57,260.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,51.67,553.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.08,0,14.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.02,4.44,0,0,42.63,0,0,15.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,30.51,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,173.3,4.65,0,0,93.56,0,0,22.98,0,0,0,12.63,3.51,0,0,0,0
 14-21,0,0,0,0,4.57,0,2.44,0,0,0,1.26,0,0.89,0,0,0,0,0,0,0.88,41.16,0,0,0,0.84,0,0,0,4.72,0,4.46,4.35,17.17,0,0,0,0
 24-34,0,0,0,0,2.33,0,12.9,0,0,0.69,1.56,0,0.69,0,0,0,0,17.58,0,2.53,162.88,0.9,0,0.73,0,0,1.94,0,0,0,0,1.37,23.33,0,2.46,0,0
 36-46,0,0,0,0,2.43,0.72,23.58,0.61,5.26,0,9.73,0,0.57,2.39,0.74,0,0,12.02,0,3.15,171.76,0,0,0,0,0,1.66,0,0,0,0,0,37.03,0,1.93,0,0
 48-58,0,0,0,0,2.06,0,34.49,0,0,1.86,4.55,0,0,0,0,0,0,21.66,0,3.73,138.84,0,0,0.42,0,0,7.94,0,0,0,0,0,16.62,0.42,8.53,0,0
 60-70,0,0,0.7,0,0,0,51.23,0,0.69,0,6.9,1.47,0.71,0,0,0,0,15.5,0,0,100.13,0,0,0,0,0.96,1.06,0,0,0,0,0,17.69,0,0.66,0,0
 72-82,0,0,0,0,1.75,0,49.9,0,0.8,0.94,9.29,0,0,0.59,0,0,0,19.35,0,0,108.81,0,0,1.74,0,0,0,0,0,0,1.69,0,2.9,0.52,0,0,0
 84-94,0,0,0,0,3.46,1.99,47.91,0,0,0.75,12.14,0,0,0.63,1.67,0,0,15.07,0,4.3,76.38,0,0,0,0,0,5.51,0,0,0,0,0,4.94,0.98,0.62,6.45,0
 96-106,0,0,0,0,1.98,1.76,30.9,0,0,1.75,10.12,1.06,0,0.96,0,1.05,0,14.82,1.84,1.68,68.88,0.75,1.84,0.84,0,0.97,9.16,0,0,0.62,0,0,8.79,0,1.81,0,0
108-118,0,0,0,0,1.97,0,17.11,0,0.46,0,6.4,0,0,0,0.44,0.78,3.53,23.5,0,0.44,98.11,0.49,1.14,0.57,0,0,2.77,0,0,0.43,0,0,5.72,1.3,3.23,0,1.27
120,0,0,0,0,0,0,26.53,0,0,0,15.46,0,0,3.52,0,0,0,28.61,0,8.43,160.05,0,10.58,0,0,0,1.01,0,0,0,0,0,9.02,0,1.25,0,0
