stage,axial,blastomeres,endoderm,erythrocytes,eye,gut,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm
  5-6,11.62,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.5,0,0,0,0,0,0,0,0,21.96,0,0,0,13.92
 10-12,0,0,6.26,0,0,0,0,0,0,0,7.86,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.03,0,0.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.6,0.61,0,1.32,0
 36-46,0,0,0,0,0,0,1.46,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0
 60-70,0,0,0,0.67,1.27,0,1.75,0,0.76,0,12.08,0,0,0,0
 72-82,0,0,0,0,6.5,0,3.3,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,3.77,0,0,2.76,8.06,0,0,0,0
 96-106,0,0,0,1.13,6.94,0,1.98,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.11,16.01,0.43,0,0,0,0,0,0,0
120,0,0,0,0,0,0,11.08,0,0,0,0,0,0,0,0
