stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,169.41,6521.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.33,0,0,0,0,0,0,0,0,0,0,0
  5-6,135.77,2763.47,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,119.26,0,0,0,0,0,22.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.58,29.58,6.8,0,0,0,29.11,0,0,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,376.26,37.65,0,0,72.66,0,0,19.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,33.37,80.42,0,0,0,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.78,694.46,0,0,100.3,0,0,19.31,0,48.28,0,3.24,5.88,0,0,0,0,0
 14-21,0,0,90.29,81.56,438.76,0,16.19,0,0,0,183.15,2.36,2.69,36.87,0,0,0,0,2.98,0,84.36,0,0,60.8,1129.66,1389.1,2.83,29.56,21.54,0,3.26,2.28,15.47,0,21.89,4792.74,514.96,0,0,435.86,0,0
 24-34,0,1.67,18.55,28.03,87.28,0,97.93,9.78,4.16,0,178.98,1,0,57.03,0,2.32,3.39,0.66,21.14,0.62,159.81,0,0.89,68.71,1961.35,188.76,3.93,29.48,0,0,10.6,0,0,0.84,1.55,1763.65,650.7,0,0,1886.28,0,4.61
 36-46,0,0,1.25,35.18,36.88,0,168.86,2.71,1.19,1.64,197.53,1.23,0,80.55,0,0,0.88,4.67,1.92,4.76,172.78,0.71,0,24.49,1163.65,121.95,2.38,14.66,16.41,0,9.77,0,0,5.91,0,64,448.97,0,0,1023.5,0,10.34
 48-58,0,0,0,23.92,0.98,0,260.28,5.37,1.2,1.25,405.04,0.41,0,149.83,0,0,8.87,8.74,2.51,1.2,234.19,0,3.66,53.88,685.42,79.77,0.4,23.43,0,0.61,10.96,0,0,0,0.73,0,350.59,0,0.42,911.6,0,34.2
 60-70,0,0,0,20.14,19.79,0,312.38,16.88,2.52,2.81,767.61,6.19,0,135.89,0,0,7.3,10.43,0,0,442.86,0,13.25,51.9,548.07,52.09,0,14.52,0,9.67,0,0,0,0,0,0,237.03,0,46.75,698.05,1.95,22.35
 72-82,0,0,0,29.62,87.3,0,408.97,2.56,0.55,0,874.69,15.5,0,138.11,0,1.39,0,22.29,4.1,0,1016.52,0.51,42.98,55.14,582.09,37.77,3.27,22,0,10.15,1.59,0,0,0,0,0,120.38,0,59.82,1176.44,7.22,28.2
 84-94,0,0,0,18.83,97.04,0.59,346.1,20.75,0,1.74,789.84,31.18,0,47.65,1.43,0,2.76,24.97,0,0,973.65,0,18.66,47.58,432.7,40.84,1,19.58,0,7.29,3.69,0,0,0,2.02,0,90.94,6.03,49.53,1105.63,4.77,4.28
 96-106,0,0,0,28.49,149.63,0.97,438.32,10.79,0.56,0,856.13,28.32,0,114.52,3.69,0,5.98,28.98,2.03,0,683.84,0.71,20.05,57.57,466.11,22.69,0,21.43,0,16.7,1.94,0,0,0.71,0,0,80.35,1.47,79.54,1229.16,6.74,0.9
108-118,2.57,0,0,22.38,168.9,2.98,520.86,6.44,1.92,2.41,799.18,16.64,0,49.89,7.12,0.52,4.93,38.65,6.67,2.1,554.31,8.46,18.41,76.2,678.22,19.28,4.53,21.28,0,33.66,9.6,0,0,2.23,3.95,0,48.55,6.78,121.81,921.5,3.15,7.97
120,0,0,0,24.25,136.8,0,406.54,3.79,9.39,2.86,712.65,10.48,0,100.09,2.27,1.45,0,20.53,3.74,0,407.9,0,10.39,100.53,572.05,6.88,24.1,13.17,0,22.66,10.25,0,0,0,0,0,71.14,0,135.83,951.91,0,2.33
