stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,9.89,175.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,88.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.59,0,0,0,0,0
  7-9,0,0,3.64,0,0,0,11.66,0,0,0,0,0,8.09,0,0,0,0,0,0,0,0,73.55,4.67,0,0,22.16,0,7.17,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.31,0,0,0,21.72,0,0,7.71,0,0,0,0
 14-21,0,0,3.15,1.28,5.03,0,0,0,0,0,0.93,0,0,0,0.89,0,0,0,1.04,0,0.86,12.83,0,0,0.84,0.92,0,3.23,0,4.16,0.93,1.63,0
 24-34,0,0,0,3.66,0,0,4.21,0,0,0,0,0,0,1.47,0,0,0,0,1.73,0,0.77,37.63,0,0,0,0,0,8.08,0,0.75,10.71,1.36,0
 36-46,0,0,0,0,0,0,6.53,0,0,0,1.82,0,0,0,0,0,0,0,2.65,0,0,45.09,0,0,0,0,0,11.82,0,0,4.08,0,0
 48-58,0,0,0,2.79,0,0,19.82,0.81,1.69,0.39,0.59,0,0,0.4,0,0,0.41,0.54,0.45,0,0,51.04,0,1.09,0,0,0,22.38,0,0,3.86,0,0
 60-70,0,0,0,0,0,0,25.92,0,0,0,6.56,0,0,0,0,0,0,0,0,0.73,0,49.77,0,1.19,0,0,0,17.93,0,0,0.96,0,0
 72-82,0,0,0,4.53,0.63,0,15.04,0,0,0,1.07,0,0,0,0,0,0,0,7.36,0,0,26,0,5.12,0.91,0,1.4,3.41,0,0,6.47,0,1.33
 84-94,0,0,0,0.89,0,0,5.72,0,0.74,0,0.82,1.57,0,0,0,0,0,0,0,0,0,18.97,0,0,3.45,0,0,3.81,0,0,0.58,6.32,0
 96-106,0,0,0,0.67,0,0,17.39,0,0,0,0,0,0,0,0,2.39,0,0,3.45,0,0.62,12.07,0,0,0,0,0,1.17,0,0,0,0,0
108-118,0,0,0,0,0,0.68,12.45,0,0,0,4.06,0,0,0,0,0,0,0,8.68,0,0,10.7,0,0,0,0,0,4.48,0,0,0,0,0
120,0,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,29.91,0,0,0,0,0,2.77,0,0,0,0,0
