stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,9.36,224.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0
  5-6,6.8,132,10.71,0,0,0,0,0,0,0,0,0,17.89,0,0,0,9.15,0,0,0,0,0,0,0,0
  7-9,4.08,15.03,20.65,0,0,10.99,0,0,0,0,0,0,330.21,27.7,0,0,552.8,0,0,0,0,0,0,0,0
 10-12,0,13.9,49.37,0,0,7.1,0,0,0,0,0,0,278.2,27.97,0,0,755,0,12.57,3.14,0,5.78,0,0,0
 14-21,0,0,0.93,1.68,1.23,0,0,0,0,0,2.9,10.97,1.16,0.85,0,0,3.38,0.96,128.86,0,2.88,186.57,3.89,0,0
 24-34,0,0,0,0,0,0.7,0,0,0,0,0,3.92,9.93,0,0,0,0,0,0.83,0,0,14.4,1.92,0,0
 36-46,0,0,0,1.07,0,2.13,0,0,0,0,5.48,0.59,12.26,1.29,0,0,0,2.4,0,0,0,0,6.4,0,0
 48-58,0,0,0,0,0,2.04,0,0,0,0,1.06,0,7.11,0,1.1,0,0,6.78,0,0,0,0,0,1.72,0
 60-70,0,0,0,14.07,0,5.57,0,0,0,0,1.15,0,17.49,0,0,0,0,0,0,0,0,0,4.28,0.93,2.83
 72-82,0,0,0,0,0,7.24,0,0.5,0,0.53,3.23,0,7.58,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.16,0,0,0.55,0,0.57,0,0,0,3.34,0,0,3.79,0,0,0,0,2.56,0,0
 96-106,0,0,0,0,0,0,4.62,2.81,0,0,3.8,0.59,6.3,0,0,0.59,0,4.99,0,0,0,0,0,0,0
108-118,0,0,0,3.12,0,4.56,2.76,0,0,0,0,0,10.81,0,0,0,0,2.15,0,0,0,0,0,0,0
120,0,0,0,1.28,0,0,17.95,0,0,0,15.57,0,3.71,0,0,0,0,3.92,0,0,0,0,0,0,0
