stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,0,130.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.52,142.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,5.9,0,0,4.9,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0.87,0.86,0,0,0,0,2.33,0,10.02,0,0,0.83,0.81,1.37,1.95,3.54,0
 24-34,0,0,0,0,0.75,0,1.04,0,0,3.18,1.69,3.64,0.77,0,0,7.92,0,3.29,0.61,0
 36-46,0,0,6.62,0,1.43,0,0,0.63,0,3.56,0,10.6,0,3.55,0,2.59,0,0,4.38,0
 48-58,0,0,0,0,2.33,0,1.2,0,0,0,0,1.1,0,0,0,1.1,0,0,0.4,0
 60-70,0,0,0,0,1.16,0,0,0,0,1,0,0.94,0,0,0,0,0,0,1.85,1.77
 72-82,0,0,0,0,0,0,0,0,0,2.29,1.53,1.2,0,0,0,0,0,0,0,0
 84-94,0,0,1.25,0,0,0.67,0,0,0,0,0,2.67,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.59,0,0.64,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0
