stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,40.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,57.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,0,0,0,11.73,0,0,9.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.78,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.22,0,0,0,58.71,0,0,0,0,0,0,9.49,0,0,0,0,0,0
 14-21,0,0,0,21.54,5.56,0,0,0,0,0,0,1.08,2.74,0,0.92,0,0,0,0,7.44,0,0,16.57,29.18,0,0,0,0,0,0,0.9,25.23,4.82,62.7,586.16,12.03,0,0,7.27,0,0
 24-34,0,0.75,0,128.58,0.68,0,12.43,19.21,15.31,1.47,3.38,1.36,2.56,0,0,0,0,0,0,22.38,0.75,0,31.87,84.09,1.53,1.68,1.97,0,0,5.77,0,1.02,5.27,28.26,204,15.97,0,0,100.99,0,2.08
 36-46,0,0,0,85.39,0,0,2.85,21.51,19,1.09,0,0,5.73,0,2.99,0,0,0,0,18.46,0.56,0,21.03,45.62,0,0,0,0,0,1.3,0,0,5.68,24.94,4.5,13.18,0,0,88.43,0,5.02
 48-58,0,0,0,73.06,0,0,8.15,35.37,16.75,4.09,1.28,0,0.63,0,0.93,0,0,0,2.42,13.81,0,0,14.96,63.02,0.5,0,1.21,0,0,1.78,0,0,2.21,31.24,0.83,14.44,0,0,40.47,0,0
 60-70,0,0,0,54.45,2.21,0,26.02,17.38,25.97,11.4,0.67,0,0,0,1.2,0,1.03,0,4.77,34.03,0,0.59,11.69,36.63,0,0.89,2.01,0.81,0,0,0,0,0,30.39,0,0,0,2.51,21.83,1.06,0
 72-82,0,0,0,70.39,0,1.79,14.27,9.83,32.64,23.89,3.77,1.42,1.32,0.51,0.62,2.49,0.81,0,0,105.47,0,1.89,23.55,70.89,1.34,0,0,0,1.42,0,0,0,0,21.82,0,5.27,0,0.91,70.02,5.13,0
 84-94,0,0,0,124.86,1.49,6.62,8.67,18.15,39.34,6.78,6.05,1.23,0.85,2.13,0,5.73,0,0,0.75,80.49,0.71,0.96,22.33,48.86,5.64,1.37,0.85,0,10.51,3.72,0,0,0.97,37.37,0,5.11,2.12,0,87.15,8.81,0
 96-106,0,0,0,150.33,18.85,8.4,42.49,34.3,41.89,14.54,8.13,2.53,1.99,0.58,0,4.56,1.6,0,0.81,91.95,2.22,0.88,20.6,49.26,0.97,3.45,0,0,0,4.52,0,0,0,18.36,0,1.92,1.83,1.32,90.29,13.39,2.21
108-118,0,0,0,268.05,0.66,57.49,4.56,28.44,63.39,27.27,19.33,4.25,0,0.78,1.28,13.57,0,2.82,0.75,108.57,0.44,0,45.81,58.39,0.89,4.05,0,0,4.04,19.25,0,0,0.42,50.18,0,3.54,5.74,1.67,96.12,14.24,0
120,0,3.29,0,347.82,13.51,30.47,3.64,46.38,72.04,27.71,0,2.06,0,9.41,0,0,0,1.48,0,183.79,0,0,84.55,90.19,1.29,0,0,0,0,12.32,0,0,0,5.92,0,0,0,7.53,55.78,11.48,0
