stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,178.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.85,105.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.63,6.85,18.57,0,0,0,35.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.7,0,0,0,72.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.94,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.36,10.05,0,0,145.96,0,0,0,13.15,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,141.23,26.92,0,0.9,0,0,0,0,6.98,3.36,0,0,0,0,0,21.41,0,0.98,77.09,0,0,1.53,13.57,0,0,46.39,0,0.94,7.03,145.48,0,0,1.02,0,0
 24-34,0,0,0,6.16,0,0,4.56,0,0,1.02,0,0.82,4.72,0,0,0,0,0,18.38,0,3.02,377.15,0.6,2.48,4.85,0,1.14,1.46,0,0,1.14,1.36,362.5,0,0,2.51,0,0
 36-46,0,0,0,7.34,0,0,10.94,0.56,0,1.22,0,1.77,0,0,0,0,0,0,6.94,0,0.59,711.27,0,1.01,0,0,0,22.51,0,0,0,0,344.01,0,0,0,0,0
 48-58,0,0,0.86,8.23,0,0,133.84,0,1.15,15.18,0,0,3.97,0,0,0,0,0,16.73,0,0.4,1060.2,0,0,0.38,0,0.56,2.02,0,0,0,0,310.69,0,0,2.48,0,10.87
 60-70,0,0,0,7.37,0,0,751.34,0.81,3.77,6.66,0.83,0,0.81,1.4,0,0,0,6.98,37.48,0.66,0,1689.34,0,2.12,0,0,0,14.85,0,0,0,0,305.36,0,10.21,0,0,0
 72-82,0,0,1.02,17.29,3.11,0,1585.5,2.98,5.24,49.29,1.26,0,0.63,0,1.65,0,9.31,7.54,40.3,0,0.83,1740.12,0.5,0,0,0,0,4.7,0,0,0,0,242.93,0,6.07,5.28,2.7,0
 84-94,0,0,2,19.27,7.61,0,1417.92,0.57,0,32.25,0.88,0,3.33,0,0,0,1.02,0,39.14,2.09,1.03,1285.94,0,1.79,0,0,4.92,35.28,0,1.1,0,0,160.43,0,38.57,0,3.4,0
 96-106,0,0,0,6.3,1.56,1.23,1439.83,0,0,35.98,1.24,0,1.96,0,6.83,0,11.03,0,26.78,0,1.81,1201.58,0,2.88,3.32,0,4.62,17.82,0,0,0,0,52.38,0,7.49,0,4.96,7.04
108-118,0,0,1.32,15.55,0.76,0,1860.74,0.76,0,62.07,0,3.04,4,0,2.02,4.05,0,0.89,41.85,2.22,0.8,1866.51,0,4.51,0,0,1.49,5.87,0,0,0,0,64.96,0.68,1.96,1.16,3.24,2.73
120,0,0,0,54.61,0,0,1353.85,1.55,0,63.46,7.44,0,4.47,0,5.6,0,0,0,44.1,0,4.32,2736.58,0,14.94,6.04,0,0,11.83,0,0,0,0,114.27,0,0,0,1.8,0
