stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,44.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,94.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0
  7-9,10.81,0,0,5.28,0,0,0,9.53,0,0,0,0,5.47,0,0,0,0,0,0,0,0,0,122.54,47.17,0,0,30.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,89.86,0,4.95,0,0,0,0,0,0,4.67,0,0,0,0,3.73,0,0,0,0,62.32,190.28,0,0,36.82,0,0,3.78,0,14.94,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,150.11,60.58,0,1.03,6.97,0,0,10.47,0,1.07,0,0,0,12.52,0,23.79,0,0,28.44,47.31,0,8.34,0,0,1.19,0,2.15,141.17,4.27,5.6,0,0,11.1,0,0
 24-34,0,0,0.62,2.13,23.62,5.18,0,1.71,17.3,0,0,23.67,0,2.39,5.13,0.63,0,4.25,1.49,3.19,0,3.51,33.33,6.57,0,0,0,0,0.82,0,0,258.34,0.63,8.56,0,0,40.67,0,1.51
 36-46,0,0,0,0.93,12.74,2.86,0,3.17,14.04,0,1.46,17.48,0,2.03,4.85,0,0,37.4,0,9.78,0,2.86,42.19,1.29,0,4.32,0,0,0,0,0,170.69,0,3.33,0,0,22.22,0,0.74
 48-58,0,0,0,0,2.63,7.22,0,12.67,13.4,0,0.38,30.04,0,1.94,0.43,0,0,33.29,0,7.46,0,1.84,31.2,0,0,11.54,0,0,0,0,0,61.45,0,5.03,0,0,21.25,0,2.73
 60-70,0,0,17.63,0,0.61,0,0,32.37,6.41,0,5.54,46.48,0,0,13.84,0,0,53.52,0,24.3,0,1.48,19.93,0.64,0,35.9,0,0,0,0,0,74.11,0,2.22,0,0,22.64,0,0
 72-82,0,0,39.34,0,0.52,11.3,3.77,26.69,5.23,6.62,5.35,137.92,0,1.61,6.6,0,0,119.95,0,43.8,0,0.57,49.49,0.51,0,30.56,0,0,0,0,0,59.66,0,1.02,0,0,15.92,0,2.8
 84-94,0,0,41.08,4.27,5.54,4.44,7.45,33.07,10.75,0,2.26,210.91,0,0,11.03,1.52,0,305.4,1.76,38.69,3.37,2.41,48.67,0,0,62.88,0,0,6.78,0,0,151.18,0,0,0,0,31.16,2.38,27.68
 96-106,0,0,31.09,9.59,6.52,10.16,18.37,41.61,5.51,0,15.23,251.34,0,5.25,29.74,2.27,0.6,611.37,0,41.38,0.56,3.6,175.6,0,2.19,82.34,0,1.77,25.83,0,0,114.8,0,11.83,2.9,0,19.37,1.49,14.66
108-118,0,0,54.26,12.22,2.41,20.32,60.71,46.07,10.87,8.19,11.27,247.82,0,1.27,12.42,1.59,0,1418.37,0,38.65,0.92,1.67,154.85,0.59,0,85.69,0,5.61,7.22,0,0,106.52,0,0,0,0.57,28.94,1.54,3.03
120,0,0,38.13,6.35,0,0,11.09,1.29,1.28,0,4.12,198.35,0,0,14.95,0,0,713.15,0,22.37,0,0,73.02,0,0,64.09,0,0,0,0,0,62.85,0,0,0,0,36.06,0,0
