stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
  3-4,11.55,0,0,0,0,0,0,0,0,20.94,0,0,0
  5-6,11.37,0,0,0,0,0,17.57,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.29,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.62,0,1.04,0,0,0,0
 36-46,0,0,0,0,0,0,2.18,0,1.46,0,0.7,0,0
 48-58,0,0,0.93,0,1.85,0,9.9,0,0,0,0,0,0
 60-70,0,0,13.68,3.37,0,0,12.02,0,0,0,0,0,1.24
 72-82,0,1.48,14.06,2.02,0,0.66,10.55,0,8.83,0,1.96,0,0
 84-94,0,0,8.65,4.36,0,0,2.02,0,12.71,0,0.59,0,0
 96-106,0,0.83,27.13,2.9,0,0,1.96,0,28.99,0,0,0,0
108-118,0,0,7.72,0.95,0,0,2.56,0.46,25.37,0,0,0.7,0
120,0,0,37.81,16.23,0,10.03,14.06,0,60.24,0,0,0,0
