stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,102.82,2158.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.46,0,0,0,0,0,0,0,0
  5-6,175.47,3228.53,0,0,0,0,0,0,0,0,0,0,0,0,0,82.6,28.39,0,0,44.6,0,0,0,0,0,0,0,0
  7-9,14.18,34.17,0,34.56,0,0,90.73,0,0,11.96,0,0,0,0,0,813.56,14.71,0,270.24,0,10.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.38,0,0,4.52,0,0,0,0,0,70.38,0,0,33.17,0,0,0,17.29,0,0,0,0,0
 14-21,0,0,0,3.96,2.5,1.96,0,0,0.91,0,0,0,2.94,3.23,4.52,16.56,0,0.85,0.87,0,3.49,1.04,0,8.6,0.96,0,0,0
 24-34,0,0,0,0.66,0.64,0.67,0.96,0,0,0,0,0,0,0.72,0.95,12.58,0,1.94,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.59,0,0,0,0,0,0,1.09,0,0.89,0.56,7.83,0,0.6,0,5.21,2.26,0,0,0,1.39,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0.59,0.44,19.26,0,0,0,0,0,0,0,0,2.31,0,0,0
 60-70,0,0,0,0,0,0,16.98,0.86,0.57,0,0,0,0,0.56,0.82,13.1,4.75,0,0,0,0.64,0,0,0,0,0,1.3,0
 72-82,0,0,0,0,0,0,0.73,0,0,0,0,0,0,0.77,0,27.1,0,0,0,0,0.56,0,0,0,0,0,2.25,0
 84-94,0,0,0.74,0,0,0,11.94,0.7,0,0,1.25,0,0,1.19,0,41.28,0,0,0,0,0,0,0,0,0,3.4,0.83,1.09
 96-106,0,0,0,0,4.21,0,22.45,0,0,0,0,0.92,0,2.85,0,53.88,0,0,0,11.11,1.62,0,0,0,0,0,3.13,0
108-118,0,0,0,2.94,2.03,0,3.1,0,1.58,0,0,0.72,0,0,0,60.12,0,0.58,0,0,4.99,0,0,0,0,0,5,0
120,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,65.35,0,0,0,0,4.6,0,0,0,0,0,2.2,0
