stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,1.01,6.17,3.94,10.65,0,0,0.89,1.33,0,0,0,0,0,7.27,0,7.05,93.02,0,0.88,1.54,16.16,0,7.83,8.04,1.02,0
 24-34,0,3.52,0.67,12.36,0,0.99,0,0.67,1.17,3.73,0,0,0,8.25,0,2.73,139.61,0,0,1.93,0,0,0,39.41,4.78,6.14
 36-46,0,0.62,0,20.6,0,0,0,0,0.92,0,0,0,0.87,5.7,0,2.76,99.65,0.57,0,0,0,2.78,0,17.38,0,0
 48-58,0,0.45,0,22.98,0,0,3.34,0,1.15,0.48,0.38,0,0.56,4.04,4.76,0.68,53.22,0,0,3.7,0,0,0,9.34,4.04,0.6
 60-70,0,0,0,23.49,7.58,0,2.62,0,0,0,0,0,0,4.77,0,1.67,49.71,0,0,0,0,0,0,6.95,0.57,0
 72-82,0,0.5,0,32.5,0,0,18.13,0,0,0,0,0,0,5.38,0,0.68,18.29,0,0.53,0,0,0,0,0,1.23,0
 84-94,0,6.29,0,6.5,0,0,1.85,0,0,1.75,0,0,0,4.07,0.6,0.57,14.12,0,0,3.8,0,0,0,8.02,0.83,0
 96-106,0,0,0,8.93,0,0,13.52,0,0,0,0.81,0.66,0,6.05,0,1.61,14.13,0,0,1.31,0,0,0,0.84,0.61,0
108-118,0,1.82,0,8.23,0,1.26,4.69,0,1.35,0,0,0,0,2.93,0,2.82,14.58,0,0,0.62,0,0,0,0,0,0
120,0,0,0,5.47,0,0,10.39,0,0,0,0,0,0,9.57,0,0,17.45,0,0,0,0,0,0,0,1.35,0
