stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.59,0,0,0,5.47,0,0,0,0,0,18.22,0,0,0,0,0,0,0,0,0
 10-12,14.39,8.61,0,0,0,0,0,0,0,0,0,0,0,0,25.99,0,0,18.96,14.67,0,0,0,0,0
 14-21,0,1.01,3.43,0.98,0,0,1.98,0,0,0,0,0,0,0,3.93,2.09,0,0,0,0,2.76,0,0,0
 24-34,0,0.62,0,0,0.74,1.86,0,0,0,0,0,0,0,0,5.34,0,0,0,0,0,7.01,0,0,0
 36-46,0,0,0,0,0.56,0,0,0,0,3.56,0,0,0,0,9.38,0,0,0,0,0,2.49,0,0,0
 48-58,0,0,0,0,4.37,0,0.83,0,0,0,0,2.43,1.33,0.62,15.03,0,0,0,0,0,1.68,0,0.64,0
 60-70,0,0,0,0,4.51,0,0,0,0,0,0,26.9,0,0,18.25,0,0,0,0.62,0,0,0,0,0
 72-82,0,0,0,0,6.45,0,2.14,0,0.58,0.51,0,53.83,1.82,0.74,19.14,0,0,0,0,0,6.36,0,0.71,0
 84-94,0,0,1.22,0,4.24,1.84,6.47,1.08,0,6.22,0.72,43.11,0,0,25.41,0,0,0,0,0.62,0,0.77,0,1.09
 96-106,0,0,0.6,0,0,1.71,1.3,0.6,0,6.14,0,90.9,0,0,7.79,0,2.3,0,0,0,0,1.5,0,2.39
108-118,0,0.74,0.45,0,12.89,0.62,2.6,0,0,0,0,117.37,3.42,1.18,25.55,0,0,0,0,0,0,0,0,1.79
120,0,0,0,0,3.44,0,7.05,0,0,0,0,179.2,6.16,6.07,53.13,0,5.01,0,0,0,0,0,0,18.96
