stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,28.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,110.95,0,0,0,6.04,0,0,0,0,0,24.86,0,0,0,0,0,0,0,0,0,430.86,26.62,0,0,9.65,0,0,6.12,7.14,0,0,0,0,0,0,0
 14-21,3.19,0,0,32.19,167.63,2.22,0,71.01,0,0,0,33.27,55.29,4.94,0,1.16,0,0,5.6,0,7.43,0,6.13,562.99,120.33,1.03,0.84,0.92,0,1.57,8.48,25.07,2.26,4.12,236.34,0,0,0,0
 24-34,0,0,0,34.75,10.53,0,0,33.99,0,0,0.62,15.87,13.85,0,3.99,0,0,0,12.33,7.53,13.14,1.77,0,657.33,9.76,0,0.64,0,0,0,0,43.11,0,2.43,206.76,0,0,0,0
 36-46,0,0,0,3.01,0,2.92,0,19.02,2.66,0,0,13.53,2.53,0,4.13,0,0,0,4.49,0.86,22.64,1.76,0.83,302.43,4.53,1.37,0,0,0,8.24,0,26.86,0,0,150.4,0,0,0,0
 48-58,0,0,0,0.43,0.4,0,0,45.53,2.03,0,0,20.85,1.32,0,5.05,0,0,0,15.08,0.87,26.53,0,0,143.74,0.56,1.26,7.31,0,0,2.98,0,11.85,2.54,0,109.64,0,0,0,4.07
 60-70,0,0,0,0,2.08,0,0,58.35,1.38,0,0.71,11.54,6.69,0,8.16,0,3.59,0,0.72,1.22,49.25,0,1.45,94.15,0,0,4.98,0,1.53,2.13,0,7.99,4.7,0,95.6,0,0,0,0
 72-82,0,0,0.5,0,1.58,0,0,39.38,0,0,1.05,10.8,1.25,0,5.95,0,0,0,3.27,6.01,40.86,3.19,0,65.77,0,2.45,3.84,0,1.1,6.47,0,9.81,0,0,77.24,0,0,0.78,0.67
 84-94,0,0,0,0.76,0.7,0,1.39,20.68,0,0,3.67,4.47,3.24,0,2.32,1.44,10.27,0,1.18,15.82,78.95,0,0,67.84,0,1.31,19.43,0,0.6,8.61,0,6.42,0,0,33,0,0,0,0
 96-106,0,0,0,0,1.71,0,2.89,38.15,0.76,0,1.54,10.23,8.98,0,0,0.74,0.79,1.79,3.22,1.74,36.09,1.25,1.63,44.86,0,0,9.98,0,0,11.46,0,8.25,0,0,15.38,0.59,0,0,0
108-118,0,0,0,0,11.52,0,8.78,36.11,2.04,0.52,1.78,20.65,8.27,0,2.84,0.69,5.92,0,15.23,1.1,49.78,0,0.42,56.75,1.39,3.42,13.84,0,0,8.29,0,3.71,0.96,0,17.62,0,2.08,0,6.18
120,0,0,0,0,0,0,3.13,12.9,1.09,0,0,15.51,8.83,0,4.06,0,0,0,11.51,0,44.88,0,0,133.12,3.31,0,0,0,3.68,2.45,0,2.34,0,0,9.62,0,0,7.28,0
