stage,axial,blastomeres,epidermis,erythrocytes,eye,gut,heart,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,9.65,37.76,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,25.57,0,11.48,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.19,0,0,0,0,0,0
 14-21,0,0,0.93,0.83,0,0,0,0,0,0.86,0,0,0,0,3.88,2.69,0,0
 24-34,0,0,0.69,0,0,0,2.08,0,0,8.41,0,0,0,0,0,1.02,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.31,1.23,0,0,1.04,0,1.23,0,5.44
 48-58,0,0,0,0,2.39,0,0,10.22,0.4,3.92,0,0,0,0,0,0.76,0,0
 60-70,0,0,0,0,7.51,0,0,0,1.42,0,0,0,0,0,0,0,0,5.1
 72-82,0,0,0,0,0,0,0,0,0.87,2.4,0,0,0,0,0,0,2.4,6.51
 84-94,0,0,0,0,0,0,0,0,2.93,0,0,0,0,0,0,0,2.84,1.74
 96-106,0,0,0,0,0.59,1.13,0,0,3.3,3.08,0,0,6.71,0.83,0,0,6.69,3.37
108-118,0,0,0.42,0,0,0,0,0,0,2.87,0,0,0,0,0,0.78,9.03,2.13
120,0,0,0,0,0,0,0,0,0,0,0,0,11.71,0,0,0,42.93,0
