stage,epidermis,erythrocytes,eye,glial,gut,immune,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pronephros,spinal.cord,vascular.smooth.muscle
 14-21,0,0,0,1.5,0,0,0,0,0,0,1.83,0,0,0,0,1.1,0
 24-34,0,0,1.1,0,0,0,0.96,0,0,1.35,9.17,0,0,0,0,0.9,0
 36-46,0,0,0,0,0,0,0,0,0,0,10.72,0,0.64,0,0,1.24,0
 48-58,0,0,0,0.76,0,0,0,0.68,0,0,1.06,0.43,0,0.59,12.3,1.59,0
 60-70,4.29,4.83,4.94,0,0.75,0,0,1.93,0.73,0,12.22,0,0,0,0,2.39,0
 72-82,0.49,0,0,1.68,0,0,0,0.54,0,0,1.23,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0
 96-106,1.29,3.09,4.56,2.69,0,0,0,0,0,0,8.64,0,0,0.57,0,0,0
108-118,0,0,2.61,0,0,2.22,0,0.83,0,0.42,2.42,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0,1.52
