stage,blastomeres,exocrine.pancreas,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,xanthophores
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0.94,0,0
 24-34,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,2.12,0
 36-46,0,0,0,0,0,0,0,0,10.5,0.66,0,0,0,0,0,2.77,0
 48-58,0,0,11.81,1.02,0,0,1.56,0,14.25,0,0,0,0,0,0,1.24,0
 60-70,0,0,13.09,0,0,0,0.58,0.68,8.45,0,0.89,0,0,0,0,0,0
 72-82,0,0,5.55,1.53,0,0,1.39,0,18.59,0,0,0,0,0,0,2.43,3.38
 84-94,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0.56,0,0,0
 96-106,0,0,6.47,3.54,0,0,2.18,0,5.83,0,0,0,0,0,0,0,0
108-118,0,1.51,13.75,0.47,0.81,0.84,5.99,0,17.03,0,1.23,0,1.71,0,0,2.71,0
120,0,0,2.8,0,0,0,0,0,7.22,0,0,0,0,0,0,7.84,0
