stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  5-6,0,14.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,5.22,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,14.93,0,0,0,0,0,0,0
 14-21,0,0,0,1.3,0,0,0,0,0,0,0,0.89,0,0,2.67,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0.84,2.77,0,0
 24-34,0,0,0,0,1.28,0,0,1.35,0,0,0,0,0,0,31.84,0,0,0,8.28,2.05,0,0,45.57,0,0,1.55,0,19.62,0,0,0,5.14,0.77,0
 36-46,0,0,0,0,1.64,0,0,1.64,0,1.04,0,0,0,0.96,30.55,0,0,0,0,0,0,0,225.25,0,1.42,0,0,89.28,0,0,0,24.22,3.87,0
 48-58,0,0,0,0,0,0,0,25.07,0,0,0,1.83,0,0,25.22,0,0,0,2.15,1.45,0,0.61,336.21,0.56,1.57,0,0,36.81,0,0,0,46.68,0.65,0.63
 60-70,0,0,0,0,0,0,0,55.55,0,1.96,2.55,9.75,2.76,0,27.47,0,0,0,7.7,2.57,0,0,598.31,5.22,3.97,0,0,23.78,0,0,0,77.82,0,0
 72-82,0,0,0.68,0,3.52,5.84,0,139.73,0,0,1.49,17.82,13.95,0,7.15,0,0,0,15.12,3.02,0,0,663.58,0,5.11,0,0,21.46,0,0,0,45.87,0,0
 84-94,0,0,0,0,3.3,0,0,101.25,0,0.86,0,24.07,21.58,0,12.75,10.27,0,0.82,12.11,10.73,3.04,0,312.99,0,0.89,0,0,60.33,0,0,0,26.55,0,0
 96-106,0,0,0,0,13.47,3.08,1.05,125.09,0,0,0,26.34,19.56,0,20.64,0.81,0,0,10.46,11.82,0,0,307.83,0,1.7,1.43,0,54.23,0,6.18,0,18.55,0,1.88
108-118,0,0,0,0,18.09,0,0,82.29,1.5,0,0,10.13,13.47,0,30.58,0,1.1,0.81,15.33,17.7,0,1.58,474.85,0,0,0,0,43.61,0,0,0,10.37,0.59,0
120,2.82,0,0,1.66,16.01,0,0,98.56,0,9.83,0,43.46,20.95,0,28.72,0,0,5.29,5.43,1.16,0,0,773.53,0,14.26,0,0,52.89,1.73,0,0,3.72,0,0
