stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  5-6,21.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.54,0,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,4.55,0,15.91,0,0,0,0,0,0,10.93,0,0,8.78,0,0,4.89,0,0
 14-21,0,0,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.01,0,5.54,0,9.41,0,0,0,0,0.66,0
 36-46,0,0,0,0,0,0,0.59,0,1.15,0,20.81,0,13.16,0,0,0,0,1.23,0
 48-58,0,0,0,0,0.9,0,0,0,0.47,0,9.48,1.01,10.99,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,6.54,0,22.64,0,0,0,0,0.88,0
 72-82,0,0,0,0,0,0,0,0,0.62,0,2.77,0,59.03,0,0.55,0.49,0,0,1.04
 84-94,0,0,0,0,0,0,0,0,1.54,0,2.17,0,74.97,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.76,0,0,3.76,1.9,3.71,1.76,115.74,0,0,0.58,0,0,0
108-118,0,0,0,0,2.18,0.54,0,0,4.83,0,16.04,0,109.4,0,0.41,0,0,0,0
120,0,0,0,0,5.34,0,0,0,4.92,0,39.16,0,117.02,0,0,0,0,0,0
