stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,gut,hatching_gland,immune,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,314.18,0,0,0,0,0,0,0,0,0,0,0,32.52,0
  5-6,36.66,224.64,0,0,0,0,0,0,0,0,0,0,0,7.36,0
  7-9,0,0,0,0,0,0,4.1,0,0,0,27.84,0,3.7,0,0
 10-12,0,0,0,0,4.26,0,0,0,0,0,6.29,0,3.23,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.72
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0
 36-46,0,0,0,0.6,0,0,0,0,0,0,0.71,0,0,0,0
 48-58,0,0,0,2.44,4.56,0,0,0,1.21,0,0,0,0,1.12,0
 72-82,0,0,0,1.1,0,0,0,0,0,0,0,1.25,0,0,0
 84-94,0,0,0,6.26,0,0,0,0.77,0,0,0,0,0,2.57,0
 96-106,0,0,0,0,1.21,1.49,0,0,0,0,0,0,0,1.35,0
108-118,0,0,1.11,9.4,0,0,0,0,0,0.79,0,0,0,1.54,0
120,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0
