stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,gut,hatching_gland,liver,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,taste,vasculature,xanthophores
  3-4,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.74,55.9,0,0,0,0,0,0,10.93,0,0,0,26.75,0,6.56,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,0,4.76,0,0,53.58,0,0,0,6.16,0,0,0,4.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,53.61,0,0,0,8.61,0,0,0,0,4.19,0,0,0,0
 14-21,0,0,0,0,5.14,0,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.71,0,0.62,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0
 36-46,0,0,0,0,2.43,0,0.89,1.28,0,0,0,0,0,0.72,0,12.83,0,0,0.63,0,0,0
 48-58,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,20.23,0,0,0,0,0,0
 60-70,0,0,0.65,0,1,0,4.43,0.68,0,7.26,0,0,0,0,0,22.14,0,0,0,0,0,0
 72-82,0,0,1.26,0,0,0,0.82,1.52,0,0,0.98,0,1.2,0,0,8.24,0,0,0,0,0,0
 84-94,0,0,0,0,0.57,0,0.68,5.32,0,0,0,0,5.4,0,0,18.78,0,0,0,0,2.09,0
 96-106,0,0,0,0,0.59,5.72,0.57,7.71,0,0,1.36,0,1.98,0,0,50.97,0,0,0,0.59,0,7.18
108-118,0,0,0,0,1.61,0,2.93,15.67,0,0,2.12,0.44,1.44,0,0,37.52,0,0,0,0,0,0
120,0,0,0,0,0,0,2.89,10.34,0,0,0,0,0,0,0,42.23,0,0,2.12,3.57,0,0
