stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,0,0
 10-12,0,0,3.76,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,1.16,0,2.9,0,0,0,2.14,0,0
 24-34,0,0,2.09,0,0.69,0,0,0,0,2.29,0,10.1,5.58,1.5,0,2.23,0,1.55
 36-46,0.79,0,0,0.73,0,0,0,0,0,1.64,0,24.03,1.48,0,0.79,2.79,0,0.68
 48-58,0,0,0.38,0,0,1.83,0,0,0,4.95,0,11.71,0,0,0,0.76,0,0
 60-70,0,0,1.11,0,0,0,0,0,0,5.2,0,38.18,0.84,0,0,6.53,0.59,0
 72-82,2.48,0,15.25,0,0,0,0,0.64,0,15.11,1.12,48.97,0,0,0,6.6,0,0
 84-94,1.03,0.76,7.76,2.12,0,0,0,1.72,1.81,8.94,4.14,41.53,11.6,2.53,0,5.8,2.51,0
 96-106,0,0,13.75,0,0,0,0,0,0,21.05,0,36.5,0,2.18,0,10.96,0,5.74
108-118,0,0,18.51,0.79,0.92,0,1.01,0,0,28.73,2.35,60.19,0,0,0,0,0,0
120,0,0,43.85,0,15.67,0,0,0,0,11.92,0,61.59,0,0,0,0,0,0
