stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.71,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0
  7-9,11.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,62.93,0,0,3.34,0,0,10.02,0,0,0,0
 14-21,0,0,0,0.84,0,0,30.67,0,0.84,0,0,2.91,0,11.61,1.51,0,0,0,0,18.56,84.9,0,0,0
 24-34,0,0,1.32,0,0,0,42.89,0,0,0,0,3.05,0,10.98,8.04,1.32,0,0,0.73,17.47,66.89,0.82,0,0
 36-46,0,0,0,0,0,0,32.73,0,0,0,0,0,0,19.84,18.68,6.47,0,0,0,12.49,46.18,0,0,0
 48-58,0,0,0,0,5.37,0,23.33,0,0.59,0,0.4,0,0,20.29,19.04,2.89,0,0,0,0.93,45.1,0,0,0
 60-70,0,0,0.71,0,2.2,0.61,20.83,0,0,0,0.88,0,0.68,28.62,6.93,5.69,0,0,0,0.64,46.55,0,0,7.93
 72-82,0,0.54,0,1.36,1.42,0,31.22,0,0,0,0.56,0.85,0,55.01,19.67,3.4,0,0,0,0.57,19.87,0,0,0
 84-94,0,0,0,6.91,5.47,0,32.05,2.65,0,0,1.35,7.58,1.03,16.26,37.19,4.22,0,0,0,2.89,19.08,0,0,0
 96-106,0,0,0,0,2.43,0,21.49,0.71,0,0,2.41,0.64,1.21,9.56,24.23,8,0,1.54,0,1.05,24.29,0,0,0
108-118,0,0,1.63,0,5.59,0,33.92,0,0,0,3.49,7.35,0,16.81,20.86,14.29,0,3.27,0,2.91,12.97,0,1.09,0
120,0,0,0,0,4.28,0,36.14,0,0,1.63,4.73,8.03,0,22.42,29,8.11,0,0,0,1.12,5.01,0,0,0
