stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,171.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.8,3.39,0,0,8.31,0,0,7.7,0,0,0,0,0
 14-21,0,0,0,0.98,9.48,2.42,0,2.16,0,1,0,0,0,0,0,0,0.88,0,0,0,3.25,0,0,6.62,1.42,2.11,0,0,7.84,0,0.84,3.62,0,0,0,0
 24-34,0,0,0.71,0.7,12.08,0.67,0,1.24,0,0,0,0,0,0,0,0,13.19,0,0,0,0,3.71,0,29.35,0,10.55,1.35,0,73.08,0,1.64,7.3,0,0,4.64,0
 36-46,0,0,0,0.96,0,0,0,0,0,1.06,0,0,0,0,5.59,0,8.69,0.77,0,0,0,6.77,0,51.73,0,7.42,2.84,0,29.16,0.81,0,9.64,0,0,2.6,0
 48-58,0,0,0.42,0,3.7,0,0,8.88,3.41,5.57,0,0,0,0,0,0,1.18,1.59,2.23,0.51,2.82,1.56,0,38.57,0,4.11,2.86,0,23.51,0,0.92,11.98,0,0,1.35,0
 60-70,0,0,1.46,0,2.22,0,0,15.04,0,0,0,6.21,2.55,0,3,0,0.58,0.59,2.19,0,0,0,0,69.34,2.27,9.53,0,0,39.43,0,0,14.54,0,0,1.78,0.68
 72-82,0,0,2.99,0,8.76,0,0,9.29,0,0,0,6.48,3.05,0.5,0,1.06,3.32,3.77,0,0,1.32,1.72,1.28,65.51,0,4.4,4.23,0,16.68,0,1.24,3.63,1.44,0,4.09,0
 84-94,0,0,1.19,0,11.88,0,1.52,33.52,0,0,1.19,0.64,10.64,0,0,3.73,5.32,1.72,1.66,0,3.56,4.27,0,40.37,4.37,4.37,4.84,0,73.43,0,3.22,3.97,6.35,2.16,9.91,0
 96-106,0,0,2.18,0,13.85,0,0.77,89.15,0,3.13,0,4.98,8.02,0,0,0.91,4.25,2.98,1.78,0,3.09,7.96,0,40.09,0.97,16.03,10.03,0,58.71,0,1.38,5.41,11.4,0,8.91,0
108-118,0,0,0.54,0.74,20.31,0,5.88,68.38,0,1.7,0,0.97,20.82,0,0,0,13.19,2.99,4.01,0,4.71,0.7,0,67.9,0,2.51,11.9,0,27.16,0,5.29,4.66,16.11,0,6.69,0
120,2.82,0,7.47,0,31.78,6.4,4.61,16.32,0,5.71,0,0,28.77,0,0,0,7.33,10.61,1.13,0,0,3.25,0,114.45,0,20.07,10.99,0,36.07,0,13.14,0,11.36,0,5.13,0
