stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,6.71,0,0,0,3.69,0,0,0,0,0,0,0,0,0
 10-12,5.11,0,0,14.23,0,0,0,0,0,11.48,0,0,0,0,0,0,0,20.33,0,0,0,11.47,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0.82,32.56,0,1.74,0,0,0,0,1.16,23.12,0,0,0,0,0
 24-34,0,1.36,4.54,0.88,0,0,0,0,0,0,0,0,0,0,3.25,0,1.67,323.08,0.7,8.96,2.16,0,0,0,0,105.22,0,0,0,0,0
 36-46,0,1.9,0,0,9.05,0,0,2.35,0,0,0,0,0,1.07,0.71,0,0,764.52,0,14.75,0,0,0,4.19,0,199.2,0,0,0,0,0
 48-58,0,0.46,0.63,0,77.72,0,0,8.18,0,0,0,0,0,0,5.51,5.16,2.4,1130.81,0,11.96,0,0,0,0,0,162.28,0,0.89,0,0,0
 60-70,0,0.95,2.33,0,391.78,0,0,24.49,0,0,2.96,0,0,0,3.26,0,0.84,1440.58,0,9.96,2.54,0,0,0,0,135.83,0,0,0,0,1.69
 72-82,0,0.68,5.73,0,714.68,2.13,0,30.56,0.7,0,0,8.35,1.04,0,17.72,0,1.51,1648.95,0,29.64,3.93,0,0,6.55,0,77.95,0,0,6.87,1.42,25.34
 84-94,0,0,8.04,7.39,461.42,0.68,0,27.23,0,0,0,0,0.65,0,8.91,0,0.6,1160.34,0,11.18,4.36,0,0,0,0,96.15,4.51,0.64,0,0.63,3.41
 96-106,0,0,1.73,4.87,436.48,0,0,44.9,1.01,0,1.63,5.9,2.05,13.71,13.2,1.14,0.59,897.14,0,23.56,6.44,0,0,1.43,0,40.99,11.05,0,0,0,19.97
108-118,0,0.71,4.61,1.21,398.34,0,0.5,30.17,0.86,0,0.79,0,2.02,0.77,12.45,2.11,1.26,1219.92,0,28.97,4.29,0,2.77,0.64,0,26.33,3.42,0,2.31,0,1.77
120,0,0,7.81,0,262.92,0,0,40.59,0,0,0,0,0,0,3.6,0,0,1731.21,0,42.53,10.04,0,0,1.1,0,73.98,0,3.84,0,0,0
