stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.88,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.32,0,0,0,0,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,14.63,0,0,0,5.16,0,6.91,0,0,0,0,0,0
 14-21,0,0,0,2.6,0.86,0,0,0.82,0,0,0,0,4.8,0,0,0,1.62,0,0,10.52,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.01,6.61,0,0,0,0,0,0,0,16.66,0,0,0,1.92,0,0,4.01,0,0,0,0,0,5.01,0,0,0,0,0,5.58,0.76,0,0,0,0,0
 36-46,0,0,0,5.42,0,0,0,0,0,0,0,0,87.96,0,0,0,0,0,0,94.08,0,2.33,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.65,0,0,0,15.19,0,0,0.44,4.77,211.98,0,0,0,0.42,0,0,25.5,0,0,0,0,0,17.22,0,0,0,0,3.56,1.07,9.15,0,0,1.34,0,0
 60-70,0,0,1.85,0,1.35,0,0,31.65,0,0,0,0,490.9,0,0,0,3.46,0,0,74.99,0,4.33,0,0,0,86.65,0,0,0,0,0,11.06,1.6,0,0,0,0,0
 72-82,0,0,49.59,19.64,1.27,1.93,0,77.95,0,0,4.6,14.07,1272.34,0,0.87,6.72,0.62,4.97,1.04,23.66,0,34.87,0.75,1.04,3.93,290.67,0,3.44,0,0,7.12,3.15,6.95,0,0.81,2.02,1.93,13.06
 84-94,0,0,54.38,57.54,8.52,2.14,0,89.69,0,0,6.71,8.13,2517.09,0,0,2.44,0,0.87,3.19,36.29,6.18,29.25,1.42,2.81,5.21,243.14,0,5.97,0.66,0,13.34,4.2,9.49,0.71,1.22,9.97,0,0
 96-106,0,0,75.27,148.97,11.72,26.03,0,155.13,2.88,0,2.62,36.62,3235.29,0,4.69,4.56,4.83,0.89,1.15,37.59,0,39.86,12.33,3.48,6.2,538.52,0,2.58,0.57,0,62.24,3.31,3.03,2.54,2.03,7.53,0.69,2.3
108-118,0,0,55.98,162.87,5.8,24.7,2.89,77.13,0,1.14,3.34,21.99,3309.46,0,0,2.7,0.57,3.48,0,29.89,0,35.98,11.18,1.24,4.31,424.81,0.89,0.48,1.68,0,14.3,2.34,5.7,4.03,0.47,2.85,0,4.01
120,0,0,72.11,45.12,24.61,14.14,1.71,94.66,0,0,0,25.38,1867.58,0,0,0,0,0,0,101.51,0,21.91,9.83,13.87,4.12,379.87,0,0,0,0,4.1,53.11,10.57,0,0,0,0,0
