stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.82,104.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.88,843.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.89,0,0,55.45,25.88,0,0,0,0,0,0,0,0,0
  7-9,0,14.41,5.06,0,0,23.72,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,102.34,14.32,0,35.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.28,31.9,0,7.97,4.81,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,632.2,10.22,0,231.2,4.49,0,13.59,0,0,0,0,0,0,0
 14-21,0,0,0,6.8,1.73,0.88,0,0,0,0,0.96,0,0,0,0,0,0,0.87,0,1.27,7.19,0,0,0,2.48,1.73,0,0,1.04,1.76,0,0,0,0
 24-34,0,0,0,2.73,0,2.86,0,0,0,0,0,0,0,1.74,0,0,0,0.81,0,0,23.79,0,1.87,0,14.64,0,0,1.33,0.61,2.37,0,0,0,0
 36-46,0,0,0,4.75,0,0.7,10.89,0,0,0,0,0,0,0,0,0,0,2,0,0,23.37,0,0,0,26.44,0,3.52,0,0,2.11,0,0,0,0
 48-58,0,0,0,4.08,0,6.87,0,5.07,0.57,3.86,1.57,0,0,0,0,0,0,1.35,0.5,0,26.07,0,0.39,0,24.46,0,0,0,0,1.22,0,0,0,1.06
 60-70,0,0,0,1.07,0,10.26,0.97,0,0,0,0,0,0,0,0,0,6.98,1.48,0,3.55,15.5,0,0,0,27.65,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.89,0,3.97,0.95,0,0.7,0,0,0,0,0,0.69,0,0,3.48,0,1.18,9.44,0,2.36,0,21.8,0,0,0,0,0.92,2.62,0,0,0
 84-94,0,0,0,7.55,0,0.97,0,1.28,0,0.93,0,0,0.72,1.25,1.23,0,0,6.41,0,0.78,1.9,0,0,0,91.06,0,0,0,0,0,0,0,0.89,0
 96-106,0,0,0,3.13,0,0.8,0,0,0,0.57,0,0,1.39,0,0,0,0,0.82,3.74,0,0,0,0,0,44.88,0,0,0,0,1.68,0,0,0,0
108-118,0,0,0,2.2,0,0.83,0,1.67,0,2.1,0,0,2.6,0,0,0,0,7.84,0,2.19,18.12,0,0,0,46.57,0,0,0,0,1.1,0,1.08,0,0
120,0,0,0,4.49,0,1.74,0,0,0,16.37,0,0,0,1.36,0,1.5,0,13.29,0,12.75,35.33,3.03,0,0,33.92,0,0,0,0,0,2.83,3.85,0,0
