stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,22.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,9.2,0,0,0,0,0,0,0,0,0,26.83,0,8.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,91.67,13.1,12.64,0,5.33,0,0,0,0,0
 14-21,0,79,0,0,55.91,0,0,0,0,0,0,0,0,1.69,0,0.95,0,0,0.84,0.86,0,0,0
 24-34,0,33.28,7.59,0.69,156.06,0,0,0,0,0,0,0,0,9.55,0,0,1.5,0,0,0,0,0,3.99
 36-46,0,12.02,0,1.4,110.5,0,0,0,0.61,1.63,4.65,0,0,5.96,0,0,2.63,0,0,0.59,0,0,3.2
 48-58,0,15.35,0,0.5,51.25,0,0.38,0,0,1.64,0.73,0,0,6.27,0,0,0,0,0,0.46,0,0,0
 60-70,0,19.71,0,3.84,98.04,0,0,0.69,1.98,0,0,0,0,9.99,0,0,0,0,0,0,0,0,0
 72-82,0,4.37,0,2.74,30.97,0.85,0,0,1.35,3.31,0,0.78,0.64,11.02,0,0,3.98,0,0,0,0,0.76,1.1
 84-94,0,11.11,0,4.67,58.62,0,0.94,0.87,1.46,3.05,0,0,0,4.31,0,0,0,0,0,0,0.78,0,0
 96-106,0,17.02,0,7.01,65.52,2.22,0,0.63,0,2.18,0,0,1.15,5.17,0,0,0,0,0,0,1.71,0,0
108-118,0,25.67,0,1.56,51.72,2.35,0.49,3.29,1.82,1.4,0,0.74,0,5.38,0,0,0,0,0,0,3.59,0,0
120,0,17.56,0,12.47,22.64,0,1.68,0,0,1.83,0,0,0,0,0,0,0,0,0,0,2.39,3.38,0
