stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,183.1,2436.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.38,0,0,0,0,0,0,0,0,0
  5-6,69.82,1305.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.48,0,0,0,6.17,0,28.57,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,3.85,0,0,31.46,0,0,0,15.27,0,0,0,0,0,0,0,0,0,275.57,10.89,0,0,82.68,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0,191.57,0,0,0,36.98,0,4.49,0,0,7.7,0,0,0,0,0,0
 14-21,0,0,0,16.67,0,0,0,2.12,0,0,0,0,0,0,0,0,6.55,0,0.9,26.09,0.81,0,2.09,0,0,6.8,0,4.97,0,1.25,8.14,0,0,0,0
 24-34,0,0,1.01,6.86,0,2.42,0,1.42,0,0,0,1.62,0,0,3.77,1.49,3.53,0,0.87,47.29,0,0.6,0.84,0,0,7.05,0,0,0,0.65,7.57,0,1.4,0,0.89
 36-46,0,0,0,0,0,3.62,0,0,0,0,0,0,0,0.68,0,0,6.11,0,1.1,25.72,0,0,0,0,0,0,0,0,0.59,0,3.99,0,0,0,0
 48-58,0,0,0,0.77,0,7.28,0.65,0.57,0,0,0,0,0.46,0,0,0.38,6.25,0,0,19.59,0,0,0,0,0,0.49,0,0,0,0,3.6,0,0.41,0,0
 60-70,0,0,0,0,0,11.22,0,1.59,0,0,0,0,0,0,0,3.66,9.25,3.05,0,15.06,0,1.78,0,0,4.14,9.28,0,0,2.69,0,7.67,0,1.03,0,0
 72-82,0,0,0,3.03,0,4.91,0,3.1,1.2,0,3.78,0,0,0,0,1.18,2.55,0,2.83,14.08,0,0,0.61,0,1.78,0,0,0,0,0,0.79,0,0,0,0
 84-94,0,0,0,0,0,18.66,1.75,4.55,0,0,6.64,0.57,1.69,0,0,0,7.7,0.84,1.49,11.52,0,0.9,0,0,0,0.83,1.4,0,0,0,4.3,0,0.97,0.82,0
 96-106,0,0,0,1.69,2.29,10.41,2.63,6.93,0,0,19.43,0,0,0,0,0,5.91,0,0,16.39,0.62,4.92,0,0,22.53,1.31,0,0,0,0,2.9,0.93,0,0,0
108-118,0,0,0,0.82,0,17.31,0,9.55,0,0,17.32,0.87,2.63,0,0,0,8.17,0.92,0,35.56,0.46,3.1,3.68,0,13.22,1.05,0,0,0,0,0.75,0,0,0,0
120,0,0,0,0,0,31.78,0,0,0,0,20.95,0,0,0,0,0,23.32,0,0,30.6,0,9.15,0,0,0,7.9,0,0,0,0,8.31,0,0,0,0
