stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,30.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.97,191.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0
  7-9,15.54,16.3,12.85,0,0,28.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.68,19.14,0,0,156.85,0,8.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,70.77,4.73,0,5.14,34.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775.09,0,0,0,331.04,0,5.41,0,21.3,0,9.11,0,0,0,0,0,0
 14-21,0,0,0.93,326.85,11.76,22.69,0,0,0,4.94,0,0,0,0,6.63,0,0,0,1.13,41.49,4.67,0,39.32,466.59,10.91,2.11,7.5,8.85,0,1468.64,69.21,3.19,27.69,80.3,64.46,0,0,1.01,0,0.84
 24-34,0,0,0,528.66,2.86,24.12,0,3.39,0,1.89,0,3.09,16.83,0.6,0.89,0,0.72,0,0.6,100.32,7.19,7.2,36.38,385.18,0.75,7.2,4.11,0,7.77,1372.39,2.56,0.65,4.88,3.11,22.99,0,0,3.67,0,1.82
 36-46,0,0,0,353.4,4.14,10.26,1.83,9.89,0,5.35,0,0,44.45,1.14,1.52,0,0,0,0,128.4,5.55,42.84,26.62,251.89,2.19,3.26,0,0,2.1,1652.34,2.6,0,4.24,0,22.12,0,0,12.95,0,19.07
 48-58,0,0,0,229.55,1.96,25.29,2.04,12.39,0,1.97,0,0,13.23,0,5.82,0,0,0,1.12,129.64,0,43.3,16.25,122.88,0,0,0,0,5.62,485.65,0,0,0,0,21.98,0,0.42,3.74,0,1.31
 60-70,0,0,0,66.39,0,39.46,2.95,14.09,0.83,1.75,0,0,5.86,9.45,0,0,0,0,0,268.37,2.26,81.93,32.3,122.34,2.95,0,2.6,0,12.11,168.22,0,0,0,0,0,0,39.76,2.23,21.84,0
 72-82,0,0,0,29.97,0.56,41.02,0,1.34,0,18.98,0,0,5.02,1.18,0,0,0,0,0,344.79,0.71,117.28,21.12,105.09,0,0,0.53,0,30.03,46.24,0,0,0.54,0,11.2,1.95,50.9,3.37,74.28,0
 84-94,0,0,0,54.71,3.31,24.27,0,3.57,0,3.88,0,0,13.98,0,1.99,0,0,0.83,0,297.75,0.57,186.71,7.51,58.37,0,0,0.79,0,17.27,138.59,0,1.33,0,0,8.09,0,42.01,0.56,44.24,0
 96-106,0,0,0,29.83,0,31.47,7.97,1.6,3.28,7.12,0.61,0,72.95,2.48,0.94,1.11,0,0.59,0,483.16,0,173.56,50.64,160.63,1.6,0,0.65,0,82.35,46.96,0,5.82,0,0,0.78,0,69.02,3.17,116.11,0
108-118,0,0,0,24.56,1.23,14.89,2.64,0.53,0,4.65,0.86,0,13.12,5.94,0,0,2.6,10.69,0.83,690.31,0,199,69.66,81.51,0,0,0,0,130.91,31.47,0,12.64,0,0,5.83,0,34.95,0,74.21,0
120,0,0,0,8.4,0,32.44,1.76,0,0,0,0,0,14.72,0,0,0,0,13.85,0,710.81,1.1,340.51,16.58,231.92,0,0,3.16,0,215.72,24.62,0,10.09,0,0,2.1,0,114.06,0,156.21,0
