stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.28,0,5.98,0,11.33,0,0,0,0,0,20.53,0,0,0,0,0,0,0,0,0,0,23.96,6.27,0,0,13.79,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.17,0,840.47,0,79.75,0,10.65,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,2048.17,74.52,0,0,74.08,0,0,0,8.3,0,5.05,0,0,0,0,0,0
 14-21,0,0,0,29.31,1132.13,38.45,0,129.22,0,0,0,2.9,2.77,0,0,0,20.71,0,0,0,291.49,0,0,232.56,603.93,335.19,0,0,0.94,0,0,5.43,67.76,0,32.8,16.35,0,0,0,0,0
 24-34,0,0.83,0,4.14,350.66,0.74,0,477.89,0,7.46,5.47,34.98,0,0,2.36,0,1.33,0,13.39,11.23,335.09,1.59,0,152.19,2401.88,108.19,0.63,11.16,1,0,4.97,2.06,52.1,0,4.63,54.68,0,0,9.56,0,1.49
 36-46,0,0,0,0.56,196.55,0,0,212.22,0,17.08,2.98,328.54,0,0,1.7,0,0,0,12.16,0,370.09,0,18.64,68.91,2546.92,15.04,0.67,17.03,0,0.77,0,0,28.62,0,0,82.56,0,1.37,7.26,0.78,3.7
 48-58,1.15,0,0,0,159.18,0,0,156.37,0,22.73,6.7,518.71,0,0,1.2,0,0.55,0,6.41,5.12,423.82,0.63,18.3,67.41,1036.23,5.64,0.48,13.77,0,0,0.87,0,15.13,0.46,0,75.33,0,0.85,1.21,0.48,0
 60-70,0,0,0,0,136.98,0,0,95.18,0,6.87,3.12,300.02,0,0,2.45,0.6,0.69,0,4.59,3.59,306.39,1.72,30.31,25.5,509.78,3.31,0.99,10.36,0,9.55,0,0,6.78,0,0,34.68,0,8.14,0,3.24,0
 72-82,0,0,0,0,114.76,6.3,0,106.8,0,15.17,3.56,346.99,0,0,6.93,0,4.1,0,2.19,0,454.07,0,47.74,27.3,509.15,2.47,0,6.74,0,1.67,0.86,0,5.3,0,0,18.3,0.59,6.21,2.26,16.66,0
 84-94,1.23,0,0,0,221.62,3.86,0,156.69,0,32.24,5.58,239.26,2.43,0,0.78,2.04,12.17,1.5,1.23,1.81,364.72,1.59,33.78,24.25,497.56,0.67,0,21.12,0,4.19,1.65,0,8.96,0,0,8.42,3,7.24,1.61,8.32,0
 96-106,0,0,1.08,0,224.97,5.35,1.07,149.64,0.88,18.54,1.24,398.8,2.41,0,5.18,0.65,9.22,0,2.65,5.42,312.55,2.46,52.55,14,389.56,0,0.57,25.59,0,5.34,0.71,0,7.62,0,0,9.78,1.66,4.81,3.07,8.2,1.26
108-118,0,0,0,0,250.97,1.7,2.15,175.97,0,45.04,0.78,364.62,2.53,0,0.43,1.75,16.89,0,2.86,3.19,341.61,2.33,37.28,14.88,418.72,0.93,0.95,23.01,0,3.26,7.4,0,7.78,0,0,10.91,7.92,1.16,3.49,3.05,0
120,0,0,5.88,0,187,0,0,177.8,0,38.46,0,463.56,0,0,0,0,7.69,7.23,0,14.99,322.84,3.43,41.77,15.93,447.85,3.89,0,27.63,0,0,0,0,0,0,0,0,2.74,0,0,13.03,0
