stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.05,50.68,529.34,146.61,0,291.93,0,0.82,0,36.04,20.88,5.81,1.86,2.23,6.7,0,1.18,10.45,3.55,199.75,1.1,0,187.62,2465.58,62.99,6.6,34.09,65.63,0,90.22,7.57,433.21,24.3,10.99,476.27,742.14,0,0,7.51,0,2.76
 24-34,0,0.84,23.13,175.94,17.8,0,497.49,0,12.34,7.25,82.37,10.03,0,21.22,9.36,13.18,7.63,12.62,4.38,6.29,475.12,5.86,4.13,172.27,4801.96,35.96,51.74,42.19,0,0,125.47,0,4.61,19.99,0.91,75.59,1051.75,0,0,96.29,0,37.42
 36-46,0,0,5.73,141.82,9.91,0,1485.19,2.25,24.47,19.38,238.29,9.63,0,18.79,17.34,50.06,23.51,5.8,13.13,8.1,667.41,3.79,8.73,171.71,8372.29,13.96,52.37,32.8,0,1.55,181.55,6.4,0,12.64,1.97,1.32,1789.97,0,0,81.66,0.78,21.59
 48-58,1.15,0.44,0,135.58,6.54,0,2228.04,2.63,23.29,23.93,458.33,16.8,5.49,4.45,13.35,24.64,6.07,7.6,6.43,3.22,585.34,5.77,26.25,129.49,7321.17,12.21,35.7,30.28,0,1.68,79.21,0,0,7.58,4.6,0,1514.54,0,3.14,51.92,1.08,26.56
 60-70,0,0,0,139.86,10.6,0,3161.82,6.42,23.19,25,506.71,29.86,2.14,16.46,47.79,7.62,11.4,11.57,4.65,0,705.27,6.22,29.76,78.39,8111.48,10.09,34.31,23.87,0,4.7,100.22,0,0,7.86,0.86,0,1162.18,1.59,13.34,49.27,6.74,22.53
 72-82,0,2.92,0.56,77.04,33.49,1.59,1671.78,0,21.3,17.81,352.61,17.16,0,8.05,23.58,13.31,11.96,20.57,4.14,4.71,636.04,6.5,25.79,60.81,4495.91,14.1,41.58,23.89,0,1.05,105.16,0.85,0,11.97,7.45,0,512.84,11.24,15.37,81.21,11.66,32.97
 84-94,0,3.01,0,149.97,38.52,4.59,1268.89,5.63,24.3,24.38,334.09,25.33,2.99,9.61,40.83,23.97,15.84,6.21,6.9,8.64,481.23,4.91,21.57,78.9,3223.55,19.19,23.87,36.78,0,0.91,254,0,0,4.83,0,0,339.55,7.88,15.94,73.55,14.42,14.77
 96-106,0,2.74,0.64,185.51,37.95,2.09,912.97,4.18,23.67,11.79,286.53,26.78,0,8.07,56.89,7.78,4.42,18.31,32.55,6.98,438,11.46,22.56,57.36,2317.63,5.26,30.41,27.33,0,8.74,285.07,0,0,4.45,0.72,0,168.9,5.94,11.12,90.39,20.74,18.57
108-118,0,2.52,1.5,319.56,39.17,18.7,825.08,2.6,55.56,30.02,323.91,37.98,0,9.18,62.07,27.48,31.64,16.76,24.39,5.34,597.53,21.06,24.79,75.79,3347.52,11.84,42.47,45.11,0,12.55,325.09,0,0,8.27,0.95,0,133.53,15.85,10.78,71.01,12.2,14.78
120,1.12,3.29,0,487.04,62.07,11.48,1091.36,5.48,61.82,60.38,487.31,73.7,0,8.9,95.88,11.22,22.4,10,26.68,0,746.52,22.55,40.22,104.58,6187.58,38.68,49.58,52.05,0,62.15,350.94,0,1.12,14.85,1.69,0,276.58,7.41,26.98,115.02,42.16,26.85
