stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,9.74,68.96,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0
  5-6,0,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0
 10-12,0,0,8.05,0,0,0,0,0,0,0,0,0,19.16,25.19,0,0,0,26.68,0,0,0
 14-21,0,0,0,0,0.81,0.84,0,0,0,2.06,0,0.82,2.54,0,0,0,7.46,0,4.32,0,0
 24-34,0,0,0,0.66,0,0.67,0.63,0,3.55,24.3,0,4.81,14.23,0,0,0,0,0.85,5.3,0,0
 36-46,0,0,0,0,0,2.7,0.64,0,1.3,40.78,0,13.49,15.97,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,8.83,0.76,0.67,0,36.24,0,2.29,0.77,0,0.4,0,0,0,0.75,1.83,0
 60-70,0,0,0.68,0,0,0.7,0,0.82,1.85,39.49,0.65,3.19,5.67,0,0,0,0,0,0,6.25,0
 72-82,0,0,0.75,0.49,0,1.17,0,3.02,3.8,54.64,1.17,0,4.59,0,0,0,0,0,0,0.93,0
 84-94,0,0,0,0,0,2.84,1.97,1.97,0,55.78,4.69,0,6.08,0,2.98,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.58,2.44,0,0,41.06,4.81,2.05,17.5,0,8.86,0,0,0,0,0.72,0
108-118,0,0,0.45,0,0,0,4.81,1.44,3.16,60.58,1.36,0,11.62,0,20.07,0,0,0,0,2.41,0.74
120,0,0,0,0,0,8.71,16.05,1.61,10.68,30.78,12.47,0,1.42,0,0,0,0,0,0,9.01,0
