stage,endocrine_pancreas,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
 14-21,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,2.22,1.09,0,0
 24-34,0,0,0.64,0,0,0,0,0,0,0,0,4.41,0,0,0,5.52,0.61,0,1.62,0,0,0,0,0,0
 36-46,0.85,0,0,0,0,1.09,1.03,0,0,0,0,0,0,0,0,6.31,0,0,9.58,0,0,0,7.33,0,0
 48-58,0,1.53,7.04,0,0,1.46,0,0,0,0,0,8.6,0,0,0.94,14.92,0,3.41,4.67,0,0,0,2.84,0.49,0
 60-70,0.57,0,15.52,0,0,14.89,0,0,0,0,0,7.77,0,0,0.78,8.7,0,0,4.43,0,0.6,0,0,0,0
 72-82,0,2.76,30.58,0,0.92,4.55,0,0,0,0.6,0.64,9.29,0,0,0,63.64,0,3.03,6.11,0,0,0,9.32,0,1.59
 84-94,0,0,6.46,0,0,3.88,0,0,0,0,0,1.06,0,0,0,0,3.47,0,8.55,0,0,0,0,0,0
 96-106,0,6.75,0,0,0,0,0.62,0.81,0,0,0,4.26,0,0,0,4.95,0,0.76,20.78,0,0,0,1.96,1.89,0
108-118,0,0.5,1.6,2.1,0,3.27,0.63,0,1.85,0,0,8.81,0,4.41,0.6,6.96,0,0,7.74,0,0.75,0,0,1.33,0
120,0,10.47,4.88,1.8,0,34.03,3.9,2.06,0,0,0,8.1,1.47,0,0,48.79,1.62,0,7.12,1.12,0,0,7.65,0,0
