stage,axial,blastomeres,eye,lateral.line,neural,otic,paraxial.mesoderm,periderm,pgc,taste
  3-4,10.56,109.36,0,0,0,0,0,0,0,0
  5-6,0,23.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.04,0,3.46,9.12,6.94,0
 10-12,0,0,0,0,10.59,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.87,0,0
 24-34,0,0,0,0,1.72,0,0,4.18,0,0
 36-46,0,0,0,0,0,0,0,3.69,0,0
 48-58,0,0,0,0,0.8,0,0,0,0,0
 60-70,0,0,9.66,0,0,0,0,0.58,0,0
 72-82,0,0,97.57,0.68,0.55,0,0,0,0,0
 84-94,0,0,2.94,0,0,0,0,0,0,0
 96-106,0,0,6.93,0,0,0.65,0,0,0,0.56
108-118,0,0,2.16,0,0,0,0,0.55,0,0
