stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,8.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,3.3,7.82,1.35,0,0,0,0,0,0,0,0,0,0,0,20.42,0,0.98,0,0.89,34.24,0,0,0.82,0
 24-34,3.41,1.88,0.79,3.68,0,0,0,0,0,0,0,0,0,0,438.39,0.97,0,2.13,0,185.7,0,0,0.84,0
 36-46,0.77,0,0,1.41,0,0,0,0,0,0,0,0,0,0,735.6,0,0,0,0,227.63,0,0,0,0
 48-58,0,0.44,0,6.65,0,1.12,0.9,0,0.38,0,0,0,2.92,1.39,624.17,0,0,0,0,169.96,0,0.64,0,0
 60-70,1.49,0,0,35.47,2.33,0,3.93,0,0,0,0,0,5.11,0,752.02,0,0,0,0,80,0,0,0,0
 72-82,1.43,0,1.87,68.8,0,2.11,6.09,2.13,0,0,0,5.18,2.71,0,1067.68,0,0,0,1.99,82.68,0,0,4.86,5.03
 84-94,0.73,0,2.14,61.22,0,0.69,5.85,3.62,0,0.73,0,0,0,0,730.02,0,1.38,0,0,42.14,0,0,2.92,0
 96-106,6.03,0,3.59,99.32,0,0,16.13,1.09,0,1.36,0,0,2.44,0,612.88,0,0,1.19,0,39.06,0,0.88,0,0
108-118,6.11,0,5.46,73.87,0,0,5.99,0,0,0,0.42,0,10.98,0,859.92,0,0,0,0,26.46,0.89,0,0.46,0
120,0,0,0,113.51,0,0,21.58,0,0,4.1,0,5.59,14.51,0,1107.93,0,0,1.37,0,22.39,0,0,0,0
