stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,70.41,1372.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.82,0,0,0,0,0,0,0
  5-6,50.45,644.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.23,0,0,3.49,0,0,0,0,0,0,0,0,0,61.07,3.58,0,10.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,16.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.22,2.71,1.1,0,0,0,0,0,0,0,0,0,0,0,0.93,11.45,0,0,0,0,0,6.38,1.03,0,0,0.82,0,0
 24-34,0,0,0.65,2.4,0,0,0,0,0,0,1.4,0,1.09,7.56,2.08,0,0,1.93,7.41,0,0,0,0,0,0,0,1.12,0,3.76,0,0
 36-46,0,0,0,0.62,0,2.41,0,0.6,0,0,2.88,0,0,0,0,0,0,0,9.18,0,0.75,0,0,0,0,0,4.04,0,2.39,0,0
 48-58,0,0,0,0,0,4.35,1.85,0.65,0,0.49,10.31,0,0,0,1.05,0,0,0,8.92,0,0,0,0,6.91,0,0,5.09,0,2.57,0,3.12
 60-70,0,0,0,0.71,0,7.27,0,0,0,0,11.18,0,0,14.29,5.55,0,0,0,3.92,0,0,0,0.97,0.76,0,0,2.21,0,4.15,0,18.7
 72-82,0,0,0,0.98,0,29.01,0,5.91,0,0,5.93,0,0,0,6.29,0,2.08,0,9.58,0,0,0,0,3.91,0,0,1.2,0,16.91,0,0
 84-94,0,0,0,1.95,0,24.6,0,2.24,0,2.34,16.04,0,0,0,6.72,0,0,0,11.16,0,0,0,0,25.73,0,0,0,0,3.02,1.06,2.9
 96-106,0,0,0,5.56,0,5.7,1.45,7.75,0,0,10.18,0,0,0.63,2.3,0,5.52,2.41,13.9,0,0,0,1.32,43.12,0,0,1.03,0,3.1,0,5.36
108-118,0,0,0,3.88,0.63,0.57,4.49,12.7,0,2.47,14.35,4.49,0,0,9.8,1.27,1.33,1.01,11.81,0.48,0,0,0,32.11,0,0,1,0.44,11.03,4.17,4.28
120,0,0,0,4.64,0,0,0,0,0,2.27,12.03,0,0,0,15.33,0,0,0,5.92,0,0,0,2.67,32.13,0,0,0,0,1.35,0,0
