stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,0,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.07,0,0,0,0,0,0,22.15,0,0,0,0,0,54.08,9.28,25.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,6.15,0,0,0.71,7.76,0.64,0,0,0,0,1.72,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0.74,0,0,0,0,10.04,0
 48-58,0,0,0.41,0,0,0,0,0,0,0,0.39,0,2.25,0.94,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.32,0,0,0,0,0,0,4.27,0,0,0,0,0,6.57,0
 72-82,0,0,0,0,0,0,0,0,0.56,0,0,0,6.86,0,0,0,1.54,1.89,0,0
 84-94,0,0,0,0,0,0,0.8,0,0,0.58,0,1.91,18.4,11.78,0,0,0,22.06,0,1.81
 96-106,0,0,0,2.99,0.74,0,1.62,0,0,13.4,0,0,21.82,1.15,0,0,0,3.04,0,1.36
108-118,0,0,0,0,0,0,0,0,0,17.12,0,2.01,0,4.38,0,0,0,1.66,0,0
120,0,0,0,0,0,0,0,0,2.78,51.06,0,1.28,0,2.45,0,0,0,1.62,0,0
