stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,14.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.63,0,0,0,0,0,0,0,0,6.08,0,0,0,8.22,0,0,0
  7-9,0,0,0,0,5.2,0,0,0,0,45.22,0,0,15.89,3.31,0,0,0
 10-12,0,22.47,0,0,0,0,0,0,0,54.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0,1.06,0
 24-34,0,0,0,0,0,0,0.62,0,0.65,2.92,0,0,0,0,1.88,0,0
 36-46,0,0,0,0,1.74,0,0,0,0.7,2.55,1.48,0,0,0,1.31,0,0
 48-58,0,0,0,0,2.72,0,0.99,0,0,11,0,0,0,0.7,0.9,0,0
 60-70,0,0,4.43,0,0,0,0,0,0,7.78,0,0.62,0,0,0,0,0
 72-82,0,0,0,0,3.08,0,2.21,0,7.21,10.47,0,0,0,0.87,0,0,0
 84-94,0,0,1.04,0,6.51,0,0,0,2.29,0.59,0,0,0,5.06,0,0.98,0
 96-106,0,0,0,0,1.62,3.06,0,0,0,3.03,0,0,0,7.9,0,0,0
108-118,0,0,0,0,1.66,0,0,0.47,1.92,2.37,0,0,0,4.77,0,0,1.42
120,0,0,0,4.16,19.4,0,5.11,0,0,0,0,0,0,5.33,2.54,0,0
