stage,blastomeres,eye,neural,notochord,olfactory,paraxial.mesoderm,spinal.cord
  5-6,24.46,0,0,0,0,0,0
  7-9,0,0,11.87,9.03,0,4.31,0
 10-12,0,0,22.19,0,0,8.58,0
 24-34,0,0,2.21,0,0,0,0
 36-46,0,0.77,0,0,0,0,2.24
 60-70,0,0,0.96,0,0,0,0
108-118,0,0,0,0,0.86,0,0
