stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,7.3,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,5.38,3.78,0,0,0,0,0,0,0,0,0
 24-34,0.67,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.71,0,0,0.64,5.46,1.89,0,21.33,0,0,0,0.68,0,0,0,0,0,0
 36-46,0,4.2,0,1.95,33.93,0,0,0,0,0,0,0,0,0,0,0,8.62,0,0,6.78,10.95,0,0,19.82,0,0.67,0,0.6,1.48,0,0,0,0,0
 48-58,0,2.83,0,7.06,19.67,0,0,5.1,0,0.48,1.42,0,0,1.04,0,6.02,5.58,0,1.18,1.43,29.74,0.57,0,4.37,0,0,2.55,0,3.67,0,0,0.58,0,0
 60-70,0,7.76,0,3.43,28.46,0,0,3.51,0.63,0,0,0,0,0,0,0,9.51,0,0,0.57,23.67,0,1.81,9.89,0,0,0,0,4.66,0,0,0,0,0
 72-82,0,3.09,0,32.92,20.25,2.2,0.58,8.07,4.79,0,0,0,0,0,0,0,18.75,0,1.46,13.27,34.1,0,0,2.67,0,0,1.05,0,5.89,0,0.53,0,0.75,0
 84-94,0,7.57,2.16,6.44,40.16,0,0,5.75,0,0,0,0.55,0,0.87,0,0,17.14,0,0,7.16,21.69,0.69,5.06,21.71,0,0,1.51,0,0,0,0,0,4.16,0
 96-106,0,11.85,3.15,10.27,74.58,0,2.35,19.98,0,0,0,0.66,2.39,0,0.72,0,27.21,0,0,9.53,46.36,0.95,0,17.14,0,0,1.18,0,0,8.25,0,0,0.65,4.01
108-118,0.91,10.72,0,28.3,64.95,0,0,17.11,1.91,0,0.59,0,1.11,0,1.32,0.95,12.46,6.28,0,21.1,30.11,0,1.29,11.51,0,0,3.24,0,0,1.15,1.82,0,3,0
120,0,26.04,0,22.35,45.97,0,0,9.12,19.22,0,4.4,0,0,0,0,0,6.45,0,0,11.09,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
