stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,697.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.46,0,0,0,0,0,0,0,0,0,0,0
  5-6,301.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.37,0,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.46,0,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.65,0,0,0,14.53,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0,72.75,29.63,0,0,16.5,0,5.07,3.78,0,0,0,4.35,0,0,0,0,0,0
 14-21,0,1.09,1.86,2.11,0.87,0,0,0,0,0,0,3.27,7.73,0,0,0,0,0,0,0,0,0,0,0,36.71,0,1.44,2.05,0,0,8.54,0,4.14,0,1.23,9.67,28.1,0,0,0,0,0
 24-34,0,1.72,0,2.02,0.76,0,7.48,0,0,0,1.93,0,5.3,1.45,0,0.63,0,0.78,0,3.43,6.71,0,0,0,220.09,0.73,6.52,0.65,0,0,8.26,0,0,4.83,0,1.5,81.61,0,0,9.12,0,0
 36-46,0,0,0,1.31,0,0,34.87,0,0,0,1.25,0,0,0,0,0.92,0,0.61,0,0,5.98,0,0,0,531,1.26,21.6,2.51,0,0,14.59,0,0,32.64,0,0,113.64,0,0,4.69,0,0
 48-58,0,0,0,3.54,1.11,0,55.75,2.44,0.46,0.56,21.81,0,0,0,0,0,11.64,0.41,0,0.39,8.63,0,0.6,1.88,705.23,0.91,8.96,1.14,0,0,23.12,0,0,0,0.98,0,119.28,0,0,10.23,0,0
 60-70,0,0.57,0,3.41,0.7,0,190.01,0,0.64,1.7,20.56,0,1.77,0,0,0,0,1.32,0,0,16.08,0,0,2.17,842.35,0,2.88,3.8,0,0,16.39,0,0,0,0,0,100.36,0,0,7.34,0.8,1.15
 72-82,0,3.01,0,12.83,15.91,0,338.12,0,1.12,0,51.25,2.11,0,4.18,0,2.77,0.72,0.71,0,0,52.04,1.01,0,2.84,968.18,0,13.38,7.7,0,0,18.54,0,0,0,0,0,61.33,2.42,2.38,8.67,3.5,0
 84-94,0,3.08,0,15.14,22.92,0,210.13,2.21,1.75,0,22.84,5.46,0,0,5.86,2.25,0,2.49,2.11,0,54.6,0.91,0,7.15,726.12,2.17,22.52,13.75,0,0,46.28,0,0,0.87,0,0,75.78,4.1,0,8.57,5.74,4.24
 96-106,0,1.84,0,7.28,20.41,2.1,131.12,0,5.28,0,25.8,5.14,0,0,4.51,1.63,0.81,10.49,5.27,1.15,36.55,12.87,1.77,6.77,564.46,0.66,29.15,6.42,0,5.34,75.8,0,0,0,1.26,0,18.37,0.59,0,7.13,8.35,9.13
108-118,0,2.64,0,25.13,2.41,10.89,171.03,0,2.11,0.75,32.16,11.03,0,0,2.62,3.54,4.71,2.96,0.76,4.91,43.64,5.3,2.94,6.16,733.55,1.65,17.5,4.05,0,0,43.81,0,0,0.42,2.08,0,14.62,6.54,0,13,2.48,0
120,0,2.94,0,40.51,6.3,0,193.48,2.86,1.88,8.03,44.7,32.73,0,0,3.05,2.71,0,3.44,10.24,1.51,24.34,0,0,3.79,1041.96,0,15.92,5.75,0,0,31.48,0,0,3.9,1.03,0,44.52,7.52,0,2.09,22.18,0
