stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1516.81,477.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.37,0,0,0,0,0,0,0,0,0,0
  5-6,5769.96,442.19,0,52.8,0,0,0,0,0,0,0,0,1576.59,0,0,0,0,0,0,0,0,0,0,163.28,13.98,0,0,25.12,0,9.25,0,0,0,0,0,0,0,0,0,0
  7-9,8393.34,24.53,0,1333.27,0,15.89,115.99,0,0,0,0,0,6953.1,0,0,0,0,0,0,0,0,0,0,1303.08,3132.46,0,0,969.34,0,0,22.59,0,0,0,0,0,0,0,0,0
 10-12,116.26,40.95,0,684.26,0,218.36,336.1,0,0,0,0,0,127.5,0,0,0,0,0,0,0,0,0,0,3356.75,3602.43,0,0,1719.49,0,0,5.85,12.79,56.83,0,64.65,0,0,0,0,0
 14-21,0,0,0,9.29,355.29,100.32,24.63,0,0,0,88.2,12.43,0.96,22.67,0,1.56,0,0,0,424.62,0,0,621.25,1473.01,665.62,2.38,0,227.54,0,9.17,0,154.43,14.4,103.44,775.97,981.73,0,0,0,0
 24-34,4.02,0,0,19.38,296.03,7.64,159.88,2.29,1.82,23.92,193.58,4.16,7.3,18.09,0,0,0,1.32,1.13,876.46,0,1.21,545.33,1433.28,218.87,0.84,6.28,0,0.99,7.56,0,0.76,0,7.23,161.83,330.87,0,10.47,0,0
 36-46,0,0,0,1.78,64.46,0.57,127.1,1.64,0.88,64.14,114.74,0.66,0,14.36,0,0,7.74,0.75,0,923.99,0.75,34.54,308.32,1213.38,62.75,0.59,1.89,0,0,7.71,0,0,0,6.73,0,314.12,0,2.69,0,0
 48-58,0,0,0,2.03,27.45,0.64,73.36,1.24,5.69,48.39,86.87,0,0,1.93,1.69,0,0,3.84,0,702.53,0,13.77,121.9,1059.96,11.72,7.14,4.33,0,2.17,0,0,2.68,0,6.15,0,263.82,1.51,2.62,0.9,0
 60-70,0,0,0,1.36,25.53,4.44,30.19,2.08,6.94,59.8,29.88,1.38,0,0.79,4.06,1.61,0,5.55,0,1141.93,0,20.83,111.34,922.08,4.59,0,4.03,0,0,0,0,0,0,8.34,0,48.06,5.53,0,15.48,0
 72-82,0,0,0.54,0,5.09,3.03,120.02,1.71,0.94,79.71,60.38,5.03,0,0,0,0.66,5.43,6.74,0,1941.26,0,18.1,90.82,928.77,6.73,2.72,5.63,1.13,7.75,0,0,0,0,9.37,0,45.04,33.78,2.05,51.09,0
 84-94,0,0,2.08,0,8.86,0,105.37,2.81,0,36.34,40.91,14.45,0,0,0,0,3.95,0,3.68,1569.62,0,38.24,70.54,576.63,0.96,1.17,13.55,0,0.79,2.92,0,0,0,3.14,0,44.34,21.25,4.14,54.43,0
 96-106,0,0,4.84,0,20.05,0.95,106.71,2.68,5.87,57.87,73.39,2.89,0,4.05,2.72,0,0.75,2.23,0.8,1665.56,0,4.84,71.19,400.88,0,2.91,6.69,0,1.62,0.58,0,0,0,0,0,5.4,13.78,6.51,134.47,3.6
108-118,0,0,5.03,0,10.53,0,44.87,3.72,2.7,62.97,79.41,10.96,0,0.8,1.23,0.44,0,3.53,4.67,1435.85,3.41,1.36,62.06,533.19,5.03,0.64,8.42,0,7.71,0,0,0,0,0.69,0,4.15,13.39,0,72.72,5.99
120,0,0,0,0,3.25,0,52.61,3.83,2.08,27.97,54.24,14.99,0,2.09,0,0,9.53,3.76,0,1467.92,0,17.39,46.26,542.29,0,9.51,9.29,0,5.9,0,0,0,0,0,0,16.05,33.92,0,41.4,2.59
