stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.04,3.44,16.47,0,2.18,0,1.45,1.14,0,0,9.11,0,0,0,0,6.05,0,0,4.97,0,0,0,0,0
 36-46,1.64,0,0,0,23.81,0,0,0,0.88,0.93,27.2,0,0.77,7.09,0.78,0,0,0.66,49.04,0,0,0.66,0,13.24,0,0,0,0,0,0,0,0
 48-58,1.53,0,0,9.29,33.54,0,2.15,0,3.55,1.76,53.99,0,0.87,0,32.23,0.56,0.37,0.44,140.33,0,1.29,0.78,0,13.34,0,0,5.59,0,1.97,0,0,0
 60-70,5.02,4.95,0,7.17,21.97,0,10.6,0,22.3,4.13,18.21,0,0,0,36.98,0,1.69,6.96,36.83,0,0,0.79,2.07,1.66,0,3.02,0,0,2.49,12.52,2.38,0
 72-82,5.06,12.44,0,24.46,36.01,0,5.51,4.74,10.23,33.68,32.25,0,2.23,0,132.66,0,23.53,7.56,90.07,0.53,0,31.99,8.62,9.37,0,0.52,0,0.52,13.68,1.77,44.44,8.32
 84-94,17.59,3.64,0,19.63,33.6,0,8.33,5.02,2.1,73.95,52.72,0,1.61,0,71.26,0,14.9,4.15,101.17,0,2.39,6.97,0,9.61,0,0.57,15.11,3.56,7.23,3.75,52.1,0
 96-106,38.82,22.73,1.05,31.41,55.75,6.12,14.61,6.76,17.85,133.19,129.18,0,5.3,29.78,304.17,1.15,40.96,14.44,101.96,0.62,3.25,29.52,16.94,28.1,0,1.29,2.14,25.16,26.93,18.2,178.87,0
108-118,36.86,9.12,7.9,14.67,19.83,0,6.61,7.9,15.37,95.36,98.05,1.16,7.68,2.79,169.94,0.45,35.65,11.55,60.55,0.85,6.24,18.83,16.4,15.83,0,1.68,4.19,39,10.44,4.03,100.02,0
120,24.15,28.08,0,13.21,13.29,7.01,1.45,8.58,9.87,248.39,92.91,2.88,21.89,0,213.28,0,18.35,34.68,205.04,7.66,0,36.18,24.4,0,7.94,1.47,7.07,31.25,35.33,9.91,229.57,0
