stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.93,1.01,0,0.86,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,4.45,4.6,0,0,75.65,2,0,0,0,0,0,0
 24-34,0,5.59,0,0.65,0,0,0,0,0.63,0,6.13,0,0,0,0,0.81,0,1.65,17,9.58,0,0,176.05,3.26,0,3.17,0,0,0,0
 36-46,0,3.72,0,0.77,0,1.89,0,2.34,0,0,0,0,0,0,0,0.63,0,0,7.75,2.69,0,0,310.42,0,2.35,0.7,0,0,0,0
 48-58,0,6.02,0,10.04,0,9.46,1.48,0,0.47,0,0,0,0.91,0,0.91,2.02,0,0,16.02,4.57,1.6,0,298.34,1.2,0,1.47,0,0,0,0
 60-70,0,12.11,0,4.6,0,6.68,0,1.16,2.06,0,0.73,0,1.94,0,0.72,0.76,0,0,16.68,5.76,6.69,0,311.8,0,0,0,1.44,0,0,0
 72-82,0,21.15,0,24.08,0,3.26,0,2.88,7.25,1.41,5.12,0,0,0,4.54,1.8,0,0,16.15,8.22,4.01,0,326.42,0.64,0,0,0,0.63,0,0
 84-94,0,47.37,0,14.98,0,11.46,0,0,12.39,0,16.4,0,0,0.67,0.71,2.3,2.04,9.8,7.39,18.91,2.05,0,822.23,2.91,0,0,0,0,0,0
 96-106,0,79.39,6.57,27.5,0,10.32,1.45,1.14,17.52,0,9.28,0.76,2.1,0,12.13,9.17,0,2.02,20.69,37.61,11.69,2.93,799.94,1.73,0,0,2.27,1.47,7.57,0
108-118,0,82.4,0,7.86,0,16.88,0,9.63,6.5,0.89,19.13,0,0.69,0,10.38,5.99,0,0.43,16.97,24.63,13.55,2.89,715.05,0,0,0,2.06,3.73,0,8.09
120,0,66.98,0,3.13,8.35,25.07,1.66,0,11.84,0,4.7,0,0,0,0,11.37,0,0,13.77,19.56,1.05,0,516.37,0,0,2.14,0,0,0,0
