stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,0,0,0,16.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857.83,0,0,0,110.82,0,0,4.44,0,0,0,0,0,0,0
 14-21,0,44.67,2.01,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,636.55,1.58,2.31,34.93,1.71,0,6.19,0,8.51,26.16,0,0,0,0,0
 24-34,0,5.89,0,0,80.84,0,0,0,0,0,0,0,0.75,0,0.78,0,0,2.72,0,0,0,466.66,0,4.93,110.67,0,2.6,0,0,0.63,8.77,0,0,1.06,0,5.48
 36-46,0,0.66,0,0,1607.51,1.23,16.89,0,1.88,0,0,0,0,0,3.41,0,0,7.54,0,0.77,0,1238.4,0,7.05,22.67,0,6.84,0,0,0,20.71,0,0,0,0,0
 48-58,1.29,24.01,0,0,3826.88,0,1.56,1.64,25.03,0.56,0,0.64,0,3.16,6.64,0,0,27.13,0,5.88,3.75,1882.77,0.72,3.01,45.74,0,4.8,0,0,0,85.89,0,0,4.43,0,3.73
 60-70,0.62,7.13,10.7,0,3747.76,1.3,0,0.93,28.72,0,0,0.76,0,0,6.96,0,6.33,45.77,0,3.88,5.73,1746.1,0,8.68,47.19,0,3.42,0,0,0,39.67,0,0,1.83,0,3.23
 72-82,0,13.83,3.32,0,2478.22,0,2.01,0.77,39.58,0.54,0.89,0.49,2.95,5.81,22.75,0,0,28.18,0,1.17,3.04,1390.49,0,3.21,82.69,0,7.16,0,0,0,19.84,0,0,0,2.77,27.12
 84-94,1.15,31.24,0,0,1753.24,0,0,0,24.45,1.7,0,0.85,0,1.52,13.52,0,0,27.2,6.09,0.66,0.55,836.83,0.89,8.68,71,0,1.39,0,0,0,32.46,0,3.86,3.43,0,0
 96-106,0,11.6,8.65,8.61,1115.93,0,2.34,10.54,34.43,0.85,1.16,2.46,0.81,0,27.69,3.87,0,24.38,0,0,0,779.02,0,10.15,119.51,2.41,4.4,0,0,0,11.36,0,0,1.77,1.12,2.85
108-118,0,20.62,11.42,0.44,1445.31,0,0.58,1.5,23.82,1.67,0.8,0,0,0,24.35,0,0,30.82,0,0,0,885.83,0,4.37,64.58,0,4.22,0,0,0,4.03,0.89,0,3.77,0,15.37
120,0,10.36,0,0,1738.67,0,0,0,86.35,0,0,1.63,1.72,0,19.11,0,0,30.21,0,0,1.49,1198.45,0,16.93,45.37,0,2.37,0,0,0,39.63,0,0,4.29,0,7.34
