stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,60.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0,0
  5-6,18.59,308.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.41,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0
  7-9,18.39,17.12,0,4.07,0,0,0,20.94,0,0,0,0,0,12.83,0,0,0,0,0,0,0,199.2,8.89,0,0,78.82,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.88,0,5.35,0,0,0,5.97,0,0,0,0,0,0,0,0,0,0,0,0,0,145.05,0,0,0,67.31,0,0,0,9.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.05,3.94,1.06,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.55,17.13,0.86,0,0,0,0,0,1.72,0,0,1.69,3.12,0,0,0,0,0
 24-34,0,0,0,0,1.01,0,0,1.8,0,0,0,0.8,0,0,0,0,0.92,0,0,3.07,3.61,31.84,0,0,0,0,0,0,0,0,1.95,0.64,11.23,0,0,0,0,1.76
 36-46,0,0,0,0,0,0,0,5.34,0,0,0,1.02,0,0,0,0.57,0,0,0,1.5,0,61.45,0,0,0.57,0,0,1.27,0,0,0,0,5.1,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,15.88,0.83,0,0.41,3.01,0,0,0.44,0.54,0,0,7.05,8.51,0.96,63.88,0,0.4,0.45,0,0,0.39,0,0,0,0,11.04,0,0,0.44,0,8.39
 60-70,0,0,0,0,0,0,0,10.13,0,0,0.97,1.93,0,0,0,0,0,0,0,7.72,0,58.51,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0.86,0,0
 72-82,0,0,0.79,0,0,0,0,11.12,0,0,0.55,7.32,0,0,0,0,0,0.61,0,12.49,2.02,55.16,0,0,0,0,1.05,0,0,0,0,0,3.97,0,0.75,0,0,0
 84-94,0,0,0,0,0,0.68,0,5.53,0,0.78,3.78,3.48,0,0,0,2.72,0,0.76,0,0.58,0.65,43.2,0,0,0.7,0,0,0,0,0,0,0,2.04,0,0,1.3,0.89,0
 96-106,0,0,0,0,4.35,0,1.09,10.2,0,0,0,4.22,0.85,0,0,0,0,0,0,8.49,0,28.55,0,0,3.16,0,0,0.59,0,0,0,0,2.89,0,0,1.99,0,0
108-118,0,0,0,0,1.88,2.81,0.73,12.34,0,0,0,6.73,3.32,0,0,1.53,0,0,0,16.69,1.11,24.16,0,0,0,0,0,0.7,0,1.54,0,0,3.93,0,0,0.47,0.44,0
120,0,0,0,0,6.67,0,0,5.76,1.01,0,0,0,10.8,0,0,0,0,0,0,5.14,1.09,43.71,0,0,4.07,0,0,1.97,0,0,0,0,1.7,2.82,0,0,0,0
