stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,20.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.35,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.9,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,32.44,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.79,0,0,0,11.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.56,2.37,0,90.78,0,0,4.36,0,2.19,0,0,0,0,0,4.17,2.5,0,0,0,375.24,0,0,0,0,0,0,0,0.81,1.64,40.2,0,0,0,0,0
 24-34,0,0,0,0,0,1.68,0,2.55,0,0,62.63,0,0,0,0,0.81,0.93,0,75.42,3.45,0,0,0.79,128.67,0.68,0,0,0,0,0.69,0,0,0,147.07,0,0,4.1,0,76.02
 36-46,0,0,0,0,2,0,0,4.83,0,0,56.21,0,0,0,0,0,4.31,0,192.9,1.78,0,0,0,74.03,0,1.22,0,0,0,2.84,0,0,0,155.61,0,0,1.92,0,46.17
 48-58,0,0,0,0,4.43,0,0,35,0.56,0,213.76,0,0,0,0,0,90.29,0,89.67,3.57,0,0,0,94.55,0.93,0,0,0,0,0,0,0,0,527.41,0,0,1.23,0,43.96
 60-70,0,0,0,0,0,0,0,50.75,0,1.03,540.44,0.9,0,0,0,0,196.51,0,0,15.18,0,0,5.81,79.08,0,0,0,0,2.33,0.98,0,0,0,382.5,0,0,0,0,31.1
 72-82,0,0,0.88,0,1.59,4.86,0,173.51,0,0.63,1643.99,0,0,1.02,0,0,188.5,0,2.86,37.3,0,1.81,0.5,105.48,0,0,2.6,0,0,4.05,0,0,0,468.36,2.61,0.87,4.97,0,6.31
 84-94,0,0,0,0,5.53,0,0,124.1,1.53,0,1447.5,3.01,0,6.97,0,0,98.67,0,1.9,36.27,0,0,1.36,75.35,0,0,0,0,0,0,0,0,0,502.56,0,0,0.57,0,33.86
 96-106,0,0,0,0,31.45,1.59,0,133.87,9.13,0,2080.8,1.57,0,0,0.56,0,9.73,0,0,17.35,0,0,1.63,88.6,0,1.8,2.26,0,0,1.5,0.73,0.6,0,687.89,1.66,0,7.31,1.91,11.66
108-118,0,0,0,0,6,4.45,0,82.19,2.89,1.95,2177.72,0,0,0,0,1.39,6.31,1.51,2.29,22.02,0,0,2.39,136.39,0,0,0,0,0,0.82,0.72,0,0,342.38,0.67,0,1.14,0,5.77
120,0,0,0,0,1.39,6.71,2.02,106.4,0,0,4034.22,9.78,0,0,0,0,2.88,0,0,29.6,12.14,0,0,174.91,0,0,0,0,0,2.37,0,0,0,667.92,0,0,0,5.18,0
