stage,blastomeres,endoderm,glial,neural,notochord,paraxial.mesoderm,periderm,vasculature
  3-4,205.56,0,0,0,0,0,10.11,0
  5-6,149.48,0,0,0,0,0,0,0
  7-9,7.6,3.84,0,25.42,11.2,0,0,0
 10-12,0,0,0,4.9,0,3.79,0,0
 72-82,0,0,1.12,0,0,0,0,0
108-118,0,0,0,0,0,0,0,2.12
120,0,0,0,0,0,0,0,66.21
