stage,axial,blastomeres,epidermis,eye,gut,liver,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,taste,vascular.smooth.muscle
  3-4,23.95,288.62,0,0,0,0,0,0,0,0,23.8,0,0
  5-6,0,70.3,0,0,0,0,0,0,0,0,7.22,0,0
  7-9,0,0,0,0,0,0,0,0,0,9.33,0,0,0
 24-34,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.53,0,0,0.44,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,1.92,0,8.41,0,0,0,0
 72-82,0,0,3.95,0,1.05,0,3.85,0,0,0,0,2.31,0.94
 84-94,0,0,0.7,6.16,0,0,5.47,0,11.38,0,0,0,0
 96-106,0,0,12.49,0.98,3.43,0,0,0,0,0,0,0.61,0
108-118,0,0,5.55,0,3.53,1.1,1.66,0.53,0,0,0,0,0
120,0,0,12.4,0,0,0,0,0,6.01,0,0,0,0
