stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,1215.67,20781.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826.24,0,0,0,0,0,0
  5-6,601.91,8363.07,10.26,0,0,0,0,0,69.77,0,0,0,0,0,0,0,279.03,0,0,0,86.99,149.64,0,0,0,0,0,0
  7-9,106.89,84.13,152.32,0,0,240.05,0,0,111.45,0,0,0,0,0,0,0,2757.13,140.58,0,0,852.65,10.26,35.96,0,0,0,0,0
 10-12,0,50.77,80.42,0,9.92,104.99,0,0,14.84,0,0,0,0,0,0,0,928.05,60.99,0,0,274.17,0,37.45,0,31.25,0,5.61,0
 14-21,0,0,5.24,48.19,7.97,5.82,0,2.3,0,1.3,0,1.86,0,7.04,0,8.76,122.72,4.03,0.85,2.09,2.83,2.6,8.26,36.21,1.01,6.69,27.79,40.59
 24-34,0,0,0,0.83,0,0.74,0,0.67,0,0,0,0,1.37,4.99,0,0,14.22,5.32,0,0,0,1.41,1.29,0,0,0,0.64,1.13
 36-46,0,0,0,0.87,0,0.76,1.5,0,0,0,0,0,0,1.28,0.95,0,13.38,0,0.73,0,0,0,0,0,1.31,0,0,2.01
 48-58,0,0,0,0,0,0.58,3.35,0,0,0,0,0,0,0.61,0,0,2.84,0,0,2.32,0,0,0,0,0,0,0,2.94
 60-70,0,0,0,0,0,1.35,1.87,0,0,0,0,0,0,0,0,0,20.12,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,7.68,0,0,0,0,0,0,0,1.65,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.41,0,0,0,0,0,0,0,4.04,0,0,1.47,0,0,1.38,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.74,0,0,0,0,0,0,2.32,0,0,0,0,0,18.73,0,0,0,0,0,0,0,0,0,0,0
