stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,108.15,803.84,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0
  5-6,39.55,582.43,0,0,0,0,22.48,0,0,0,0,23.96,0,0,0,0,0,0,0,0
  7-9,14.76,7.78,0,3.26,0,0,6.92,0,0,0,0,242.94,4.22,85.88,0,4.57,0,0,0,0
 10-12,0,11.47,0,9.08,0,0,0,0,0,0,0,97.17,0,27.89,0,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,0,0,3.28,4.66,9.75,0,0,0,0,0.91,1.22,5.07,1.81
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,5.75,0,0,0,0,0,0,0,0.76
 36-46,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.72,0,0,0,0.41,0,0.92,0.64,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.75,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.09,0,0,0,2.21,0,0.7,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.6,0,0,0,0,0.6,0,0.61,0,0,0,0,0,0,0,0
120,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
